Epoch 1: train loss 0.0006618049810640514, accuracy 0.66
Epoch 2: train loss 0.0002975905663333833, accuracy 0.85
Epoch 3: train loss 0.00018599069153424352, accuracy 0.912
Epoch 4: train loss 0.00015063279715832323, accuracy 0.918
Epoch 5: train loss 0.0001010777268675156, accuracy 0.954
Epoch 6: train loss 0.00010303514136467129, accuracy 0.964
Epoch 7: train loss 5.578499985858798e-05, accuracy 0.976
Epoch 8: train loss 6.44892716081813e-05, accuracy 0.97
Epoch 9: train loss 6.508359365398064e-05, accuracy 0.968
Epoch 10: train loss 4.1597013478167355e-05, accuracy 0.986
Epoch 1: train loss 0.00030456052627414465, accuracy 0.846
Epoch 2: train loss 0.00014725190703757107, accuracy 0.936
Epoch 3: train loss 9.561883780406788e-05, accuracy 0.968
Epoch 4: train loss 8.236699068220332e-05, accuracy 0.972
Epoch 5: train loss 7.072550215525553e-05, accuracy 0.978
Epoch 6: train loss 5.488526585395448e-05, accuracy 0.976
Epoch 7: train loss 4.468754923436791e-05, accuracy 0.984
Epoch 8: train loss 2.996684816025663e-05, accuracy 0.99
Epoch 9: train loss 3.364256917848252e-05, accuracy 0.988
Epoch 10: train loss 3.7974405131535605e-05, accuracy 0.994
Epoch 1: train loss 0.00018080256995745003, accuracy 0.918
Epoch 2: train loss 0.0001261977740796283, accuracy 0.94
Epoch 3: train loss 8.416768105234951e-05, accuracy 0.974
Epoch 4: train loss 7.888754771556705e-05, accuracy 0.968
Epoch 5: train loss 8.408505527768284e-05, accuracy 0.958
Epoch 6: train loss 7.94747902546078e-05, accuracy 0.956
Epoch 7: train loss 4.940075086778961e-05, accuracy 0.988
Epoch 8: train loss 8.27097101137042e-05, accuracy 0.956
Epoch 9: train loss 2.148904968635179e-05, accuracy 1.0
Epoch 10: train loss 3.400285277166404e-05, accuracy 0.986
Epoch 1: train loss 7.220539555419236e-05, accuracy 0.98
Epoch 2: train loss 6.765564467059448e-05, accuracy 0.968
Epoch 3: train loss 3.355711669428274e-05, accuracy 0.99
Epoch 4: train loss 4.8485624574823305e-05, accuracy 0.982
Epoch 5: train loss 2.2908259779796936e-05, accuracy 0.998
Epoch 6: train loss 1.777055877028033e-05, accuracy 0.996
Epoch 7: train loss 1.768091897247359e-05, accuracy 0.994
Epoch 8: train loss 3.7706224247813225e-05, accuracy 0.99
