Epoch 1: train loss 0.003927804995328188, accuracy 0.9857013163867453
Epoch 2: train loss 0.0007468920084647834, accuracy 0.9972764412165229
Epoch 3: train loss 0.0007590283639729023, accuracy 0.9961416250567408
Epoch 4: train loss 0.0005008375155739486, accuracy 0.9975034044484793
Epoch 5: train loss 0.0008438340737484396, accuracy 0.9986382206082615
Epoch 6: train loss 0.0008852643077261746, accuracy 0.9961416250567408
Epoch 7: train loss 0.00045467473682947457, accuracy 0.9977303676804358
Epoch 8: train loss 0.00039426187868230045, accuracy 0.9988651838402178
Epoch 9: train loss 0.00020368053810670972, accuracy 0.9990921470721743
Epoch 10: train loss 0.0001620528637431562, accuracy 0.9993191103041307
Epoch 1: train loss 0.002915871562436223, accuracy 0.9897866545619609
Epoch 2: train loss 0.0010503228986635804, accuracy 0.9956876985928279
Epoch 3: train loss 0.0005007681320421398, accuracy 0.9979573309123921
Epoch 4: train loss 0.000396924267988652, accuracy 0.9979573309123921
Epoch 5: train loss 0.0003151400596834719, accuracy 0.9988651838402178
Epoch 6: train loss 0.0003754006465896964, accuracy 0.998411257376305
Epoch 7: train loss 0.00014824848040007055, accuracy 0.9997730367680435
Epoch 8: train loss 0.0006749124149791896, accuracy 0.9988651838402178
Epoch 9: train loss 0.0005295284790918231, accuracy 0.998411257376305
Epoch 10: train loss 0.0004186182632111013, accuracy 0.9975034044484793
Epoch 1: train loss 0.003820447949692607, accuracy 0.9863822060826146
Epoch 2: train loss 0.0009336472721770406, accuracy 0.9963685882886972
Epoch 3: train loss 0.0007523362874053419, accuracy 0.9965955515206536
Epoch 4: train loss 0.0007071909494698048, accuracy 0.9970494779845664
Epoch 5: train loss 0.0003516899305395782, accuracy 0.9981842941443486
Epoch 6: train loss 0.000292310694931075, accuracy 0.9986382206082615
Epoch 7: train loss 0.0004378787416499108, accuracy 0.9981842941443486
Epoch 8: train loss 0.00015381835692096502, accuracy 0.9993191103041307
Epoch 9: train loss 8.313250145874918e-05, accuracy 0.9997730367680435
Epoch 10: train loss 0.00045435683568939567, accuracy 0.9981842941443486
Epoch 1: train loss 0.004028568975627422, accuracy 0.9843395369950068
Epoch 2: train loss 0.0010009277611970901, accuracy 0.9954607353608715
Epoch 3: train loss 0.0008174696122296154, accuracy 0.9961416250567408
Epoch 4: train loss 0.0003801968414336443, accuracy 0.998411257376305
Epoch 5: train loss 0.000290980824502185, accuracy 0.9988651838402178
Epoch 6: train loss 0.0004181563563179225, accuracy 0.9981842941443486
Epoch 7: train loss 0.00034626186243258417, accuracy 0.9981842941443486
Epoch 8: train loss 0.000526402669493109, accuracy 0.9981842941443486
Epoch 9: train loss 0.0004941634833812714, accuracy 0.9986382206082615
Epoch 10: train loss 0.0003350875049363822, accuracy 0.9979573309123921
Epoch 1: train loss 0.0033500739373266697, accuracy 0.986609169314571
Epoch 2: train loss 0.001044302131049335, accuracy 0.9956876985928279
Epoch 3: train loss 0.0009542001062072814, accuracy 0.9950068088969587
Epoch 4: train loss 0.0006557024898938835, accuracy 0.9965955515206536
Epoch 5: train loss 0.00031649594893679023, accuracy 0.9986382206082615
Epoch 6: train loss 0.0003502604959066957, accuracy 0.9988651838402178
Epoch 7: train loss 0.0005100880516692996, accuracy 0.9979573309123921
Epoch 8: train loss 0.00036687139072455466, accuracy 0.9979573309123921
Epoch 9: train loss 0.00023956828226801008, accuracy 0.9993191103041307
Epoch 10: train loss 0.00017563682922627777, accuracy 0.9990921470721743
Epoch 1: train loss 0.002407462103292346, accuracy 0.9897866545619609
Epoch 2: train loss 0.0009391929488629103, accuracy 0.9959146618247844
Epoch 3: train loss 0.0003349107864778489, accuracy 0.9981842941443486
Epoch 4: train loss 0.000500379828736186, accuracy 0.9970494779845664
Epoch 5: train loss 0.00016995800251606852, accuracy 0.9997730367680435
Epoch 6: train loss 0.00019527971744537354, accuracy 0.9990921470721743
Epoch 7: train loss 0.00031927486998029053, accuracy 0.9988651838402178
Epoch 8: train loss 0.00025508704129606485, accuracy 0.998411257376305
Epoch 9: train loss 0.0001333016116404906, accuracy 0.9995460735360872
Epoch 10: train loss 0.0001586945727467537, accuracy 0.9993191103041307
Epoch 1: train loss 0.0015784016577526927, accuracy 0.9938719927371765
Epoch 2: train loss 0.0008004136616364121, accuracy 0.9963685882886972
Epoch 3: train loss 0.0004970436566509306, accuracy 0.9979573309123921
Epoch 4: train loss 0.00022656319197267294, accuracy 0.9988651838402178
Epoch 5: train loss 0.0003190872084815055, accuracy 0.998411257376305
Epoch 6: train loss 0.00023510272148996592, accuracy 0.9990921470721743
Epoch 7: train loss 8.025665010791272e-05, accuracy 0.9997730367680435
Epoch 8: train loss 0.00012505111226346344, accuracy 0.9997730367680435
Epoch 9: train loss 0.0003954723943024874, accuracy 0.998411257376305
Epoch 10: train loss 8.014397462829947e-05, accuracy 0.9997730367680435
Epoch 1: train loss 0.0021346518769860268, accuracy 0.9906945074897866
Epoch 2: train loss 0.0008895559003576636, accuracy 0.9965955515206536
Epoch 3: train loss 0.0003841361030936241, accuracy 0.998411257376305
Epoch 4: train loss 0.0004980008816346526, accuracy 0.9979573309123921
Epoch 5: train loss 0.0006598932086490095, accuracy 0.9975034044484793
Epoch 6: train loss 0.00024752167519181967, accuracy 0.9993191103041307
Epoch 7: train loss 0.0002192669198848307, accuracy 0.9990921470721743
Epoch 8: train loss 0.00025577156338840723, accuracy 0.9990921470721743
Epoch 9: train loss 0.00011229774099774659, accuracy 0.9995460735360872
Epoch 10: train loss 0.00014397190534509718, accuracy 0.9993191103041307
