Epoch 1: train loss 0.08326506614685059, accuracy 0.5115532734274711
Epoch 2: train loss 0.0747532844543457, accuracy 0.5006418485237484
Epoch 3: train loss 0.07404711842536926, accuracy 0.5006418485237484
Epoch 4: train loss 0.07372959703207016, accuracy 0.5006418485237484
Epoch 5: train loss 0.07339131832122803, accuracy 0.5006418485237484
Epoch 6: train loss 0.07321981340646744, accuracy 0.5006418485237484
Epoch 7: train loss 0.07292012870311737, accuracy 0.5006418485237484
Epoch 8: train loss 0.07323865592479706, accuracy 0.5006418485237484
Epoch 9: train loss 0.07253199815750122, accuracy 0.5006418485237484
Epoch 10: train loss 0.07281553745269775, accuracy 0.5006418485237484
Epoch 1: train loss 0.0038532158359885216, accuracy 0.9801026957637997
Epoch 2: train loss 0.0021401678677648306, accuracy 0.9890885750962772
Epoch 3: train loss 0.0013738040579482913, accuracy 0.9903722721437741
Epoch 4: train loss 0.0017347505781799555, accuracy 0.9890885750962772
Epoch 5: train loss 0.0006990640540607274, accuracy 0.996790757381258
Epoch 6: train loss 0.0007901460630819201, accuracy 0.9948652118100129
Epoch 7: train loss 0.0007940140785649419, accuracy 0.9942233632862645
Epoch 8: train loss 0.00034561773645691574, accuracy 0.9980744544287549
Epoch 9: train loss 0.0002660908503457904, accuracy 0.9993581514762516
Epoch 10: train loss 0.00022685673320665956, accuracy 0.9987163029525032
Epoch 1: train loss 0.002188263926655054, accuracy 0.9871630295250321
Epoch 2: train loss 0.0017802033107727766, accuracy 0.9897304236200257
Epoch 3: train loss 0.0013992562890052795, accuracy 0.9929396662387676
Epoch 4: train loss 0.0008966541499830782, accuracy 0.9948652118100129
Epoch 5: train loss 0.0005487005691975355, accuracy 0.9974326059050064
Epoch 6: train loss 0.0006863002781756222, accuracy 0.9942233632862645
Epoch 7: train loss 0.0004651906492654234, accuracy 0.9987163029525032
Epoch 8: train loss 0.00024903888697735965, accuracy 0.9993581514762516
Epoch 9: train loss 0.0002052877825917676, accuracy 0.9987163029525032
Epoch 10: train loss 0.00013386884529609233, accuracy 1.0
Epoch 1: train loss 0.0019882777705788612, accuracy 0.9884467265725289
Epoch 2: train loss 0.0013945427490398288, accuracy 0.9890885750962772
Epoch 3: train loss 0.0009462621528655291, accuracy 0.993581514762516
Epoch 4: train loss 0.0005025402060709894, accuracy 0.9980744544287549
Epoch 5: train loss 0.00026209576753899455, accuracy 0.9993581514762516
Epoch 6: train loss 0.00022856786381453276, accuracy 1.0
Epoch 7: train loss 0.00018560400349088013, accuracy 1.0
Epoch 8: train loss 0.00017483464034739882, accuracy 0.9993581514762516
Epoch 9: train loss 0.00011224170157220215, accuracy 1.0
Epoch 10: train loss 9.130111720878631e-05, accuracy 1.0
Epoch 1: train loss 0.0015819070395082235, accuracy 0.9916559691912709
Epoch 2: train loss 0.001412018435075879, accuracy 0.9903722721437741
Epoch 3: train loss 0.000824175716843456, accuracy 0.9961489088575096
Epoch 4: train loss 0.0003351742634549737, accuracy 0.9987163029525032
Epoch 5: train loss 0.0003853260714095086, accuracy 0.996790757381258
Epoch 6: train loss 0.0003322578268125653, accuracy 0.9980744544287549
Epoch 7: train loss 0.0001888446422526613, accuracy 1.0
Epoch 8: train loss 0.0001399547909386456, accuracy 0.9987163029525032
Epoch 9: train loss 9.060800221050158e-05, accuracy 1.0
Epoch 10: train loss 9.21347746043466e-05, accuracy 1.0
Epoch 1: train loss 0.002052067779004574, accuracy 0.9884467265725289
Epoch 2: train loss 0.0008153977105394006, accuracy 0.9948652118100129
Epoch 3: train loss 0.0006720924866385758, accuracy 0.993581514762516
Epoch 4: train loss 0.00035066602868027985, accuracy 0.9987163029525032
Epoch 5: train loss 0.00020123025751672685, accuracy 0.9993581514762516
Epoch 6: train loss 0.00017104786820709705, accuracy 0.9993581514762516
Epoch 7: train loss 0.0001213630530401133, accuracy 0.9993581514762516
Epoch 8: train loss 8.087933383649215e-05, accuracy 1.0
Epoch 9: train loss 5.744339068769477e-05, accuracy 1.0
Epoch 10: train loss 6.35752803646028e-05, accuracy 1.0
Epoch 1: train loss 0.0014541264390572906, accuracy 0.9916559691912709
Epoch 2: train loss 0.0012114840792492032, accuracy 0.9903722721437741
Epoch 3: train loss 0.0009482745081186295, accuracy 0.9922978177150192
Epoch 4: train loss 0.00028811913216486573, accuracy 0.9974326059050064
Epoch 5: train loss 0.000471484730951488, accuracy 0.996790757381258
Epoch 6: train loss 0.00022458484454546124, accuracy 0.9987163029525032
Epoch 7: train loss 0.00010937295155599713, accuracy 1.0
Epoch 8: train loss 7.301515870494768e-05, accuracy 1.0
Epoch 9: train loss 5.73667130083777e-05, accuracy 1.0
Epoch 10: train loss 4.988667569705285e-05, accuracy 1.0
Epoch 1: train loss 0.0011273270938545465, accuracy 0.9955070603337612
Epoch 2: train loss 0.0008430727757513523, accuracy 0.9955070603337612
Epoch 3: train loss 0.0004950379370711744, accuracy 0.996790757381258
Epoch 4: train loss 0.0003016156842932105, accuracy 0.9987163029525032
Epoch 5: train loss 0.0001223590224981308, accuracy 1.0
Epoch 6: train loss 0.00017916533397510648, accuracy 0.9993581514762516
Epoch 7: train loss 7.215575169539079e-05, accuracy 1.0
Epoch 8: train loss 5.51470038772095e-05, accuracy 1.0
Epoch 9: train loss 4.4800370233133435e-05, accuracy 1.0
Epoch 10: train loss 4.4099979277234524e-05, accuracy 1.0
Epoch 1: train loss 0.0018858485855162144, accuracy 0.9903722721437741
Epoch 2: train loss 0.0005483120330609381, accuracy 0.996790757381258
Epoch 3: train loss 0.00035144248977303505, accuracy 0.9993581514762516
Epoch 4: train loss 0.00021226974786259234, accuracy 0.9987163029525032
Epoch 5: train loss 7.868467218941078e-05, accuracy 1.0
Epoch 6: train loss 6.558942550327629e-05, accuracy 1.0
Epoch 7: train loss 6.270513404160738e-05, accuracy 1.0
Epoch 8: train loss 4.843000351684168e-05, accuracy 1.0
Epoch 9: train loss 4.290043580112979e-05, accuracy 1.0
Epoch 10: train loss 3.918731090379879e-05, accuracy 1.0
Epoch 1: train loss 0.0010702726431190968, accuracy 0.9922978177150192
Epoch 2: train loss 0.0008325297967530787, accuracy 0.9948652118100129
Epoch 3: train loss 0.0002495550434105098, accuracy 0.9980744544287549
Epoch 4: train loss 0.000129186300910078, accuracy 0.9993581514762516
Epoch 5: train loss 6.920476153027266e-05, accuracy 1.0
Epoch 6: train loss 5.5404809245374054e-05, accuracy 1.0
Epoch 7: train loss 4.451646964298561e-05, accuracy 1.0
Epoch 8: train loss 4.393533890834078e-05, accuracy 1.0
Epoch 9: train loss 3.123621718259528e-05, accuracy 1.0
Epoch 10: train loss 2.6911669920082204e-05, accuracy 1.0
