Epoch 1: train loss 0.0028796650003641844, accuracy 0.9905759162303664
Epoch 2: train loss 0.0009641925571486354, accuracy 0.9961605584642234
Epoch 3: train loss 0.0010560710215941072, accuracy 0.9982547993019197
Epoch 4: train loss 0.00028248317539691925, accuracy 0.9991273996509599
Epoch 5: train loss 0.000474930478958413, accuracy 0.9989528795811519
Epoch 6: train loss 0.00014150378410704434, accuracy 0.999650959860384
Epoch 7: train loss 0.00027414283249527216, accuracy 0.9986038394415357
Epoch 8: train loss 0.0002592396049294621, accuracy 0.9994764397905759
Epoch 9: train loss 0.0023830269929021597, accuracy 0.9924956369982548
Epoch 10: train loss 0.0015103784389793873, accuracy 0.9973821989528796
Epoch 1: train loss 0.002099578035995364, accuracy 0.993717277486911
Epoch 2: train loss 0.0013229299802333117, accuracy 0.9944153577661431
Epoch 3: train loss 0.0008130253409035504, accuracy 0.9979057591623036
Epoch 4: train loss 0.0010540852090343833, accuracy 0.9972076788830716
Epoch 5: train loss 0.001074626692570746, accuracy 0.9954624781849912
Epoch 6: train loss 0.005261310376226902, accuracy 0.9759162303664921
Epoch 7: train loss 0.0007408640813082457, accuracy 0.9973821989528796
Epoch 8: train loss 0.0010293408995494246, accuracy 0.9963350785340314
Epoch 9: train loss 0.000839710992295295, accuracy 0.9961605584642234
Epoch 10: train loss 0.001113546546548605, accuracy 0.9947643979057592
Epoch 1: train loss 0.0036925524473190308, accuracy 0.98760907504363
Epoch 2: train loss 0.0014125884044915438, accuracy 0.9963350785340314
Epoch 3: train loss 0.0036777369678020477, accuracy 0.9823734729493891
Epoch 4: train loss 0.0014032352482900023, accuracy 0.9954624781849912
Epoch 5: train loss 0.0006112250848673284, accuracy 0.9977312390924956
Epoch 6: train loss 0.0013647816376760602, accuracy 0.9980802792321117
Epoch 7: train loss 0.0011409239377826452, accuracy 0.9979057591623036
Epoch 8: train loss 0.001050198101438582, accuracy 0.9980802792321117
Epoch 9: train loss 0.000645293272100389, accuracy 0.9973821989528796
Epoch 10: train loss 0.0005718098836950958, accuracy 0.9977312390924956
Epoch 1: train loss 0.00223027216270566, accuracy 0.9909249563699826
Epoch 2: train loss 0.0004074944299645722, accuracy 0.9986038394415357
Epoch 3: train loss 0.0007460856577381492, accuracy 0.9972076788830716
Epoch 4: train loss 0.00042637906153686345, accuracy 0.9989528795811519
Epoch 5: train loss 0.00099182256963104, accuracy 0.9993019197207679
Epoch 6: train loss 0.00024972573737613857, accuracy 0.9986038394415357
Epoch 7: train loss 0.00012746309221256524, accuracy 0.9994764397905759
Epoch 8: train loss 0.00046283777919597924, accuracy 0.9994764397905759
Epoch 9: train loss 0.0003427528135944158, accuracy 0.9987783595113437
Epoch 10: train loss 0.00011630720837274566, accuracy 0.9994764397905759
Epoch 1: train loss 0.0014235464623197913, accuracy 0.9973821989528796
Epoch 2: train loss 0.0011833326425403357, accuracy 0.9951134380453752
Epoch 3: train loss 0.0002849061565939337, accuracy 0.9986038394415357
Epoch 4: train loss 0.0001653060899116099, accuracy 0.9994764397905759
Epoch 5: train loss 0.0013417737791314721, accuracy 0.9973821989528796
Epoch 6: train loss 0.0003861169680021703, accuracy 0.9986038394415357
Epoch 7: train loss 0.00011035201168851927, accuracy 0.999825479930192
Epoch 8: train loss 0.000609699753113091, accuracy 0.9987783595113437
Epoch 9: train loss 0.0011943260906264186, accuracy 0.9980802792321117
Epoch 10: train loss 0.0003332018677610904, accuracy 0.9986038394415357
Epoch 1: train loss 0.0007767348433844745, accuracy 0.9982547993019197
Epoch 2: train loss 0.0005801552906632423, accuracy 0.9994764397905759
Epoch 3: train loss 0.0003291115863248706, accuracy 0.9986038394415357
Epoch 4: train loss 0.00016851442342158407, accuracy 0.999650959860384
Epoch 5: train loss 0.005265346262603998, accuracy 0.9759162303664921
Epoch 6: train loss 0.0017173175001516938, accuracy 0.9907504363001746
Epoch 7: train loss 0.0012966964859515429, accuracy 0.993891797556719
Epoch 8: train loss 0.0010748531203716993, accuracy 0.9956369982547993
Epoch 9: train loss 0.0018212650902569294, accuracy 0.9966841186736475
Epoch 10: train loss 0.0016303849406540394, accuracy 0.9982547993019197
Epoch 1: train loss 0.0021084360778331757, accuracy 0.9916230366492147
Epoch 2: train loss 0.0005616132984869182, accuracy 0.9977312390924956
Epoch 3: train loss 0.0006788260652683675, accuracy 0.9980802792321117
Epoch 4: train loss 0.00031951942946761847, accuracy 0.9989528795811519
Epoch 5: train loss 0.0005196574493311346, accuracy 0.9980802792321117
Epoch 6: train loss 0.0007647268939763308, accuracy 0.9986038394415357
Epoch 7: train loss 0.0025024604983627796, accuracy 0.9888307155322862
Epoch 8: train loss 0.0010785125195980072, accuracy 0.9958115183246073
Epoch 9: train loss 0.0013276056852191687, accuracy 0.9968586387434555
Epoch 10: train loss 0.000560243905056268, accuracy 0.9982547993019197
Epoch 1: train loss 0.0017737740417942405, accuracy 0.9924956369982548
Epoch 2: train loss 0.0003952409897465259, accuracy 0.9984293193717277
Epoch 3: train loss 0.0010458934120833874, accuracy 0.9980802792321117
Epoch 4: train loss 0.0010039580520242453, accuracy 0.9986038394415357
Epoch 5: train loss 0.0003349764156155288, accuracy 0.9994764397905759
Epoch 6: train loss 0.00019792148668784648, accuracy 0.9993019197207679
Epoch 7: train loss 0.0008857533102855086, accuracy 0.9986038394415357
Epoch 8: train loss 0.00032500139786861837, accuracy 0.9994764397905759
Epoch 9: train loss 0.0008899976965039968, accuracy 0.9966841186736475
Epoch 10: train loss 0.0002805714029818773, accuracy 0.9986038394415357
