Epoch 1: train loss 0.24612359702587128, accuracy 0.988197911938266
Epoch 2: train loss 0.23724383115768433, accuracy 0.9838856105310939
Epoch 3: train loss 0.23890149593353271, accuracy 0.9900136177939174
Epoch 4: train loss 0.2400333732366562, accuracy 0.9879709487063095
Epoch 5: train loss 0.23483125865459442, accuracy 0.9847934634589196
Epoch 6: train loss 0.22072692215442657, accuracy 0.9888788016341352
Epoch 7: train loss 0.23745374381542206, accuracy 0.9909214707217431
Epoch 8: train loss 0.2279348224401474, accuracy 0.9847934634589196
Epoch 9: train loss 0.21710523962974548, accuracy 0.9891057648660917
Epoch 10: train loss 0.24345722794532776, accuracy 0.9895596913300045
Epoch 1: train loss 0.21571670472621918, accuracy 0.9916023604176123
Epoch 2: train loss 0.22085978090763092, accuracy 0.9922832501134816
Epoch 3: train loss 0.22777578234672546, accuracy 0.9936450295052202
Epoch 4: train loss 0.21652287244796753, accuracy 0.9911484339536994
Epoch 5: train loss 0.23436270654201508, accuracy 0.9863822060826146
Epoch 6: train loss 0.23212869465351105, accuracy 0.9884248751702224
Epoch 7: train loss 0.2222357839345932, accuracy 0.9895596913300045
Epoch 8: train loss 0.21083712577819824, accuracy 0.992510213345438
Epoch 9: train loss 0.21720510721206665, accuracy 0.9913753971856559
Epoch 10: train loss 0.22642269730567932, accuracy 0.9931911030413073
Epoch 1: train loss 0.17276303470134735, accuracy 0.9952337721289151
Epoch 2: train loss 0.1553419530391693, accuracy 0.9927371765773945
Epoch 3: train loss 0.17903690040111542, accuracy 0.9931911030413073
Epoch 4: train loss 0.16527213156223297, accuracy 0.9909214707217431
Epoch 5: train loss 0.189686119556427, accuracy 0.9904675442578302
Epoch 6: train loss 0.18537117540836334, accuracy 0.9902405810258738
Epoch 7: train loss 0.1546841561794281, accuracy 0.9931911030413073
Epoch 8: train loss 0.1777602583169937, accuracy 0.9886518384021789
Epoch 9: train loss 0.17883172631263733, accuracy 0.9900136177939174
Epoch 10: train loss 0.16623730957508087, accuracy 0.9922832501134816
Epoch 1: train loss 0.15623192489147186, accuracy 0.9931911030413073
Epoch 2: train loss 0.15648135542869568, accuracy 0.9931911030413073
Epoch 3: train loss 0.13642330467700958, accuracy 0.994098955969133
Epoch 4: train loss 0.15213510394096375, accuracy 0.9920562868815251
Epoch 5: train loss 0.17947813868522644, accuracy 0.9922832501134816
Epoch 6: train loss 0.14619894325733185, accuracy 0.9934180662732637
Epoch 7: train loss 0.1400434821844101, accuracy 0.9931911030413073
Epoch 8: train loss 0.15381178259849548, accuracy 0.9906945074897866
Epoch 9: train loss 0.1518339216709137, accuracy 0.9950068088969587
Epoch 10: train loss 0.14675986766815186, accuracy 0.9922832501134816
Epoch 1: train loss 0.13400638103485107, accuracy 0.9954607353608715
Epoch 2: train loss 0.13648511469364166, accuracy 0.9934180662732637
Epoch 3: train loss 0.1569092720746994, accuracy 0.9938719927371765
Epoch 4: train loss 0.1387450098991394, accuracy 0.9934180662732637
Epoch 5: train loss 0.16821502149105072, accuracy 0.9906945074897866
Epoch 6: train loss 0.13623151183128357, accuracy 0.9929641398093508
Epoch 7: train loss 0.12900282442569733, accuracy 0.9959146618247844
Epoch 8: train loss 0.15525147318840027, accuracy 0.9929641398093508
Epoch 9: train loss 0.1424233615398407, accuracy 0.9936450295052202
Epoch 10: train loss 0.14293216168880463, accuracy 0.9927371765773945
Epoch 1: train loss 0.1028357520699501, accuracy 0.9950068088969587
Epoch 2: train loss 0.10924707353115082, accuracy 0.9943259192010894
Epoch 3: train loss 0.1255376785993576, accuracy 0.9943259192010894
Epoch 4: train loss 0.12924976646900177, accuracy 0.9938719927371765
Epoch 5: train loss 0.11018697917461395, accuracy 0.9965955515206536
Epoch 6: train loss 0.11191236972808838, accuracy 0.992510213345438
Epoch 7: train loss 0.11766065657138824, accuracy 0.9931911030413073
Epoch 8: train loss 0.11564160883426666, accuracy 0.9950068088969587
Epoch 9: train loss 0.10195043683052063, accuracy 0.9952337721289151
Epoch 10: train loss 0.1170346811413765, accuracy 0.9943259192010894
Epoch 1: train loss 0.11924570053815842, accuracy 0.9938719927371765
Epoch 2: train loss 0.10558562725782394, accuracy 0.9934180662732637
Epoch 3: train loss 0.10001024603843689, accuracy 0.9956876985928279
Epoch 4: train loss 0.10218101739883423, accuracy 0.9952337721289151
Epoch 5: train loss 0.10685355961322784, accuracy 0.9934180662732637
Epoch 6: train loss 0.09883562475442886, accuracy 0.9936450295052202
Epoch 7: train loss 0.0996343195438385, accuracy 0.9954607353608715
Epoch 8: train loss 0.11159953474998474, accuracy 0.994098955969133
Epoch 9: train loss 0.10877466946840286, accuracy 0.9945528824330458
Epoch 10: train loss 0.1046065241098404, accuracy 0.9959146618247844
Epoch 1: train loss 0.09985549747943878, accuracy 0.9965955515206536
Epoch 2: train loss 0.10353048145771027, accuracy 0.9943259192010894
Epoch 3: train loss 0.08910060673952103, accuracy 0.9947798456650022
Epoch 4: train loss 0.09159991145133972, accuracy 0.9954607353608715
Epoch 5: train loss 0.107523113489151, accuracy 0.9929641398093508
Epoch 6: train loss 0.10159576684236526, accuracy 0.9961416250567408
Epoch 7: train loss 0.11716251075267792, accuracy 0.9938719927371765
Epoch 8: train loss 0.1141020655632019, accuracy 0.9938719927371765
Epoch 9: train loss 0.08731764554977417, accuracy 0.9959146618247844
Epoch 10: train loss 0.09214453399181366, accuracy 0.9945528824330458
