Epoch 1: train loss 0.004124640021473169, accuracy 0.9859282796187018
Epoch 2: train loss 0.0009835227392613888, accuracy 0.9954607353608715
Epoch 3: train loss 0.00044814549619331956, accuracy 0.9981842941443486
Epoch 4: train loss 0.000566174800042063, accuracy 0.9970494779845664
Epoch 5: train loss 0.00022571957379113883, accuracy 0.9990921470721743
Epoch 6: train loss 0.000119610114779789, accuracy 0.9997730367680435
Epoch 7: train loss 0.0008001553942449391, accuracy 0.9995460735360872
Epoch 8: train loss 0.0003448457282502204, accuracy 0.9986382206082615
Epoch 9: train loss 0.00017553087673150003, accuracy 0.9995460735360872
Epoch 10: train loss 0.00021110336820129305, accuracy 0.9990921470721743
Epoch 1: train loss 0.0039954110980033875, accuracy 0.9845665002269632
Epoch 2: train loss 0.0007639522664248943, accuracy 0.9970494779845664
Epoch 3: train loss 0.0008359007770195603, accuracy 0.9961416250567408
Epoch 4: train loss 0.00038373892311938107, accuracy 0.998411257376305
Epoch 5: train loss 0.00037311867345124483, accuracy 0.9986382206082615
Epoch 6: train loss 0.0007897890172898769, accuracy 0.9975034044484793
Epoch 7: train loss 0.0008661046158522367, accuracy 0.9954607353608715
Epoch 8: train loss 0.0005781424115411937, accuracy 0.9972764412165229
Epoch 9: train loss 0.0002974423987325281, accuracy 0.9988651838402178
Epoch 10: train loss 0.00014996413665357977, accuracy 0.9995460735360872
Epoch 1: train loss 0.003982641268521547, accuracy 0.9838856105310939
Epoch 2: train loss 0.0010984736727550626, accuracy 0.9959146618247844
Epoch 3: train loss 0.0006357469828799367, accuracy 0.9972764412165229
Epoch 4: train loss 0.0004198944952804595, accuracy 0.9986382206082615
Epoch 5: train loss 0.0006310638855211437, accuracy 0.9981842941443486
Epoch 6: train loss 0.00042716885218396783, accuracy 0.998411257376305
Epoch 7: train loss 0.0008367482805624604, accuracy 0.9979573309123921
Epoch 8: train loss 0.0005443387781269848, accuracy 0.9970494779845664
Epoch 9: train loss 0.00033513529342599213, accuracy 0.998411257376305
Epoch 10: train loss 0.00018883626034948975, accuracy 0.9988651838402178
Epoch 1: train loss 0.004247599747031927, accuracy 0.9825238311393554
Epoch 2: train loss 0.0010286611504852772, accuracy 0.9936450295052202
Epoch 3: train loss 0.0010044841328635812, accuracy 0.9947798456650022
Epoch 4: train loss 0.0006598913460038602, accuracy 0.9961416250567408
Epoch 5: train loss 0.0003469499933999032, accuracy 0.9979573309123921
Epoch 6: train loss 0.0005722522619180381, accuracy 0.9975034044484793
Epoch 7: train loss 0.0009631764842197299, accuracy 0.9968225147526101
Epoch 8: train loss 0.00040026119677349925, accuracy 0.9981842941443486
Epoch 9: train loss 0.00014334125444293022, accuracy 0.9997730367680435
Epoch 10: train loss 0.00021274082246236503, accuracy 0.9990921470721743
Epoch 1: train loss 0.00293731689453125, accuracy 0.986609169314571
Epoch 2: train loss 0.00043561868369579315, accuracy 0.9979573309123921
Epoch 3: train loss 0.0005476768128573895, accuracy 0.9970494779845664
Epoch 4: train loss 0.00041052894084714353, accuracy 0.9986382206082615
Epoch 5: train loss 0.0003333675558678806, accuracy 0.9988651838402178
Epoch 6: train loss 0.00025606632698327303, accuracy 0.9988651838402178
Epoch 7: train loss 0.00023420291836373508, accuracy 0.9986382206082615
Epoch 8: train loss 0.000154044886585325, accuracy 0.9993191103041307
Epoch 9: train loss 0.00010734261013567448, accuracy 0.9993191103041307
Epoch 10: train loss 0.00011873563198605552, accuracy 0.9993191103041307
Epoch 1: train loss 0.003652414306998253, accuracy 0.9847934634589196
Epoch 2: train loss 0.0008756746537983418, accuracy 0.9961416250567408
Epoch 3: train loss 0.0005617578863166273, accuracy 0.9977303676804358
Epoch 4: train loss 0.0007473861915059388, accuracy 0.9961416250567408
Epoch 5: train loss 0.00038673056405968964, accuracy 0.9979573309123921
Epoch 6: train loss 0.00040200623334385455, accuracy 0.9972764412165229
Epoch 7: train loss 0.0002123632439179346, accuracy 0.9988651838402178
Epoch 8: train loss 0.0005886408034712076, accuracy 0.998411257376305
Epoch 9: train loss 0.00028472833218984306, accuracy 0.9988651838402178
Epoch 10: train loss 0.0005353619926609099, accuracy 0.9977303676804358
Epoch 1: train loss 0.004340339917689562, accuracy 0.980708125283704
Epoch 2: train loss 0.0015690558357164264, accuracy 0.992510213345438
Epoch 3: train loss 0.001507037552073598, accuracy 0.9936450295052202
Epoch 4: train loss 0.0010956494370475411, accuracy 0.9945528824330458
Epoch 5: train loss 0.0008447731379419565, accuracy 0.9965955515206536
Epoch 6: train loss 0.0007861434714868665, accuracy 0.9959146618247844
Epoch 7: train loss 0.0005196728161536157, accuracy 0.9981842941443486
Epoch 8: train loss 0.00037766265450045466, accuracy 0.9979573309123921
Epoch 9: train loss 0.0003368246543686837, accuracy 0.9977303676804358
Epoch 10: train loss 0.0005512801581062376, accuracy 0.9970494779845664
Epoch 1: train loss 0.0042302850633859634, accuracy 0.9816159782115297
Epoch 2: train loss 0.0012906030751764774, accuracy 0.9938719927371765
Epoch 3: train loss 0.0009881795849651098, accuracy 0.9950068088969587
Epoch 4: train loss 0.001060797250829637, accuracy 0.9952337721289151
Epoch 5: train loss 0.0007645409787073731, accuracy 0.9970494779845664
Epoch 6: train loss 0.0006628721603192389, accuracy 0.9975034044484793
Epoch 7: train loss 0.0003428226918913424, accuracy 0.9986382206082615
Epoch 8: train loss 0.0009556005243211985, accuracy 0.9947798456650022
Epoch 9: train loss 0.0008411795715801418, accuracy 0.9956876985928279
Epoch 10: train loss 0.0005070744082331657, accuracy 0.9972764412165229
