Epoch 1: train loss 0.002855331636965275, accuracy 0.9917975567190227
Epoch 2: train loss 0.001869858126156032, accuracy 0.9951134380453752
Epoch 3: train loss 0.0003138260217383504, accuracy 0.9989528795811519
Epoch 4: train loss 0.00040135171730071306, accuracy 0.9980802792321117
Epoch 5: train loss 0.00015535899729002267, accuracy 0.999825479930192
Epoch 6: train loss 0.0002705311344470829, accuracy 0.9991273996509599
Epoch 7: train loss 0.0021656632889062166, accuracy 0.9945898778359511
Epoch 8: train loss 0.0003729861055035144, accuracy 0.9986038394415357
Epoch 9: train loss 0.0005209162482060492, accuracy 0.9994764397905759
Epoch 10: train loss 0.0011674223933368921, accuracy 0.9989528795811519
Epoch 1: train loss 0.0016637684311717749, accuracy 0.9966841186736475
Epoch 2: train loss 0.001086383475922048, accuracy 0.9963350785340314
Epoch 3: train loss 0.0015941440360620618, accuracy 0.9973821989528796
Epoch 4: train loss 0.0010343418689444661, accuracy 0.9979057591623036
Epoch 5: train loss 0.0012492539826780558, accuracy 0.9989528795811519
Epoch 6: train loss 0.0002457827504258603, accuracy 0.9991273996509599
Epoch 7: train loss 0.00018911449296865612, accuracy 0.9993019197207679
Epoch 8: train loss 0.00029761268524453044, accuracy 0.999825479930192
Epoch 9: train loss 0.0001416658633388579, accuracy 0.9994764397905759
Epoch 10: train loss 0.0004862122004851699, accuracy 0.9993019197207679
Epoch 1: train loss 0.0013038002653047442, accuracy 0.9966841186736475
Epoch 2: train loss 0.000452090724138543, accuracy 0.9987783595113437
Epoch 3: train loss 0.0006726839928887784, accuracy 0.9968586387434555
Epoch 4: train loss 0.0011051970068365335, accuracy 0.9977312390924956
Epoch 5: train loss 0.0010277187684550881, accuracy 0.9987783595113437
Epoch 6: train loss 0.0010437307646498084, accuracy 0.9987783595113437
Epoch 7: train loss 0.0001649219630053267, accuracy 0.999825479930192
Epoch 8: train loss 0.00024887450854294, accuracy 0.9993019197207679
Epoch 9: train loss 0.00010307949560228735, accuracy 0.999825479930192
Epoch 10: train loss 0.0008758316980674863, accuracy 0.999650959860384
Epoch 1: train loss 0.0018055365653708577, accuracy 0.9980802792321117
Epoch 2: train loss 0.0007533972966484725, accuracy 0.9982547993019197
Epoch 3: train loss 0.003332815831527114, accuracy 0.9895287958115183
Epoch 4: train loss 0.0013372917892411351, accuracy 0.9956369982547993
Epoch 5: train loss 0.002052946947515011, accuracy 0.993193717277487
Epoch 6: train loss 0.0006299442029558122, accuracy 0.9968586387434555
Epoch 7: train loss 0.0003467380302026868, accuracy 0.9987783595113437
Epoch 8: train loss 0.00036025771987624466, accuracy 0.9980802792321117
Epoch 9: train loss 0.00039732729783281684, accuracy 0.9982547993019197
Epoch 10: train loss 0.00026019508368335664, accuracy 0.9994764397905759
Epoch 1: train loss 0.0011073293862864375, accuracy 0.9956369982547993
Epoch 2: train loss 0.001289811683818698, accuracy 0.9989528795811519
Epoch 3: train loss 0.00015261868247762322, accuracy 0.999825479930192
Epoch 4: train loss 0.0002718946198001504, accuracy 0.9984293193717277
Epoch 5: train loss 0.00038000530912540853, accuracy 0.999825479930192
Epoch 6: train loss 0.0006328242598101497, accuracy 0.9989528795811519
Epoch 7: train loss 0.0006549822865054011, accuracy 0.9987783595113437
Epoch 8: train loss 0.000798325112555176, accuracy 0.9993019197207679
Epoch 9: train loss 0.00011300524784019217, accuracy 0.9994764397905759
Epoch 10: train loss 0.0006735001807101071, accuracy 0.9989528795811519
Epoch 1: train loss 0.0008089023758657277, accuracy 0.9979057591623036
Epoch 2: train loss 0.0008925892179831862, accuracy 0.9984293193717277
Epoch 3: train loss 0.0006153582944534719, accuracy 0.9975567190226876
Epoch 4: train loss 0.0013747834600508213, accuracy 0.9970331588132635
Epoch 5: train loss 0.0006197534967213869, accuracy 0.9979057591623036
Epoch 6: train loss 0.00015317702491302043, accuracy 0.999650959860384
Epoch 7: train loss 0.0005823540850542486, accuracy 0.9994764397905759
Epoch 8: train loss 0.0001172512347693555, accuracy 0.999650959860384
Epoch 9: train loss 0.00010383528569946066, accuracy 0.999650959860384
Epoch 10: train loss 5.8758796512847766e-05, accuracy 0.999825479930192
Epoch 1: train loss 0.0007957837078720331, accuracy 0.9975567190226876
Epoch 2: train loss 0.0008388626156374812, accuracy 0.9989528795811519
Epoch 3: train loss 0.0017709130188450217, accuracy 0.9959860383944154
Epoch 4: train loss 0.0007634162902832031, accuracy 0.9982547993019197
Epoch 5: train loss 0.0005071883206255734, accuracy 0.9984293193717277
Epoch 6: train loss 0.0009643509984016418, accuracy 0.9991273996509599
Epoch 7: train loss 0.0010704771848395467, accuracy 0.999825479930192
Epoch 8: train loss 0.0007399976020678878, accuracy 0.9993019197207679
Epoch 9: train loss 0.0008132850634865463, accuracy 0.9980802792321117
Epoch 10: train loss 0.0003070276288781315, accuracy 0.9984293193717277
Epoch 1: train loss 0.0008663766202516854, accuracy 0.9984293193717277
Epoch 2: train loss 0.0005778042250312865, accuracy 0.9982547993019197
Epoch 3: train loss 0.0004468063125386834, accuracy 0.9987783595113437
Epoch 4: train loss 0.0002481096889823675, accuracy 0.9987783595113437
Epoch 5: train loss 0.0010897160973399878, accuracy 0.999825479930192
Epoch 6: train loss 0.0004934557946398854, accuracy 0.999650959860384
Epoch 7: train loss 0.00023990616318769753, accuracy 0.9989528795811519
Epoch 8: train loss 0.0010231256019324064, accuracy 0.999825479930192
Epoch 9: train loss 0.000856282189488411, accuracy 0.999825479930192
Epoch 10: train loss 0.0001679229608271271, accuracy 0.9991273996509599
