Epoch 1: train loss 0.0037044836208224297, accuracy 0.9884705882352941
Epoch 2: train loss 0.0006148292450234294, accuracy 0.9976470588235294
Epoch 3: train loss 0.0003161885542795062, accuracy 0.9985882352941177
Epoch 4: train loss 0.0002977497351821512, accuracy 0.9983529411764706
Epoch 5: train loss 0.0005005642888136208, accuracy 0.9976470588235294
Epoch 6: train loss 0.00010632040357450023, accuracy 0.9997647058823529
Epoch 7: train loss 0.00011422550596762449, accuracy 0.9992941176470588
Epoch 8: train loss 7.228509639389813e-05, accuracy 1.0
Epoch 9: train loss 0.00012683005479630083, accuracy 0.9995294117647059
Epoch 10: train loss 3.9642443880438805e-05, accuracy 1.0
Epoch 1: train loss 0.0026140164118260145, accuracy 0.9894117647058823
Epoch 2: train loss 0.00044165379949845374, accuracy 0.9985882352941177
Epoch 3: train loss 0.00031542161013931036, accuracy 0.9988235294117647
Epoch 4: train loss 0.00024183467030525208, accuracy 0.9990588235294118
Epoch 5: train loss 0.0001004588048090227, accuracy 0.9997647058823529
Epoch 6: train loss 0.00038732963730581105, accuracy 0.9988235294117647
Epoch 7: train loss 0.00041125822463072836, accuracy 0.9976470588235294
Epoch 8: train loss 0.00010308923810953274, accuracy 0.9995294117647059
Epoch 9: train loss 0.00019111999426968396, accuracy 0.9995294117647059
Epoch 10: train loss 3.524337080307305e-05, accuracy 1.0
Epoch 1: train loss 0.002659218618646264, accuracy 0.9894117647058823
Epoch 2: train loss 0.0010388147784397006, accuracy 0.9969411764705882
Epoch 3: train loss 0.0003703331749420613, accuracy 0.9985882352941177
Epoch 4: train loss 0.00015916014672257006, accuracy 0.9995294117647059
Epoch 5: train loss 9.639046038500965e-05, accuracy 0.9997647058823529
Epoch 6: train loss 8.423098915955052e-05, accuracy 0.9995294117647059
Epoch 7: train loss 4.982999598723836e-05, accuracy 0.9997647058823529
Epoch 8: train loss 8.569034253014252e-05, accuracy 0.9995294117647059
Epoch 9: train loss 0.00025961274513974786, accuracy 0.9990588235294118
Epoch 10: train loss 3.2417501643067226e-05, accuracy 1.0
Epoch 1: train loss 0.0030879550613462925, accuracy 0.9875294117647059
Epoch 2: train loss 0.00040147817344404757, accuracy 0.9990588235294118
Epoch 3: train loss 0.0003038894210476428, accuracy 0.9985882352941177
Epoch 4: train loss 0.00020957787637598813, accuracy 0.9990588235294118
Epoch 5: train loss 8.510737825417891e-05, accuracy 1.0
Epoch 6: train loss 0.0001476705656386912, accuracy 0.9988235294117647
Epoch 7: train loss 0.00021205894881859422, accuracy 0.9992941176470588
Epoch 8: train loss 0.00017405500693712384, accuracy 0.9992941176470588
Epoch 9: train loss 0.00035138169187121093, accuracy 0.9995294117647059
Epoch 10: train loss 0.00021008284238632768, accuracy 0.9988235294117647
Epoch 1: train loss 0.0016913367435336113, accuracy 0.9934117647058823
Epoch 2: train loss 0.00041008059633895755, accuracy 0.9990588235294118
Epoch 3: train loss 0.0003387609904166311, accuracy 0.9983529411764706
Epoch 4: train loss 0.00011268098751315847, accuracy 0.9995294117647059
Epoch 5: train loss 0.0001816552976379171, accuracy 0.9985882352941177
Epoch 6: train loss 0.00013018923345953226, accuracy 0.9995294117647059
Epoch 7: train loss 0.00010860883048735559, accuracy 0.9995294117647059
Epoch 8: train loss 6.680266960756853e-05, accuracy 0.9995294117647059
Epoch 9: train loss 5.919564500800334e-05, accuracy 0.9997647058823529
Epoch 10: train loss 0.00010589585872367024, accuracy 0.9995294117647059
Epoch 1: train loss 0.002848221454769373, accuracy 0.9870588235294118
Epoch 2: train loss 0.0006295687635429204, accuracy 0.9976470588235294
Epoch 3: train loss 0.00019801539019681513, accuracy 0.9990588235294118
Epoch 4: train loss 0.0008078088285401464, accuracy 0.9967058823529412
Epoch 5: train loss 0.00019622653780970722, accuracy 0.9995294117647059
Epoch 6: train loss 7.21738106221892e-05, accuracy 1.0
Epoch 7: train loss 0.00010114768519997597, accuracy 0.9997647058823529
Epoch 8: train loss 0.00014185445616021752, accuracy 0.9995294117647059
Epoch 9: train loss 5.447235525934957e-05, accuracy 0.9997647058823529
Epoch 10: train loss 0.0004230297636240721, accuracy 0.9981176470588236
Epoch 1: train loss 0.002489913022145629, accuracy 0.9891764705882353
Epoch 2: train loss 0.0013413545675575733, accuracy 0.996
Epoch 3: train loss 0.0003535165451467037, accuracy 0.9992941176470588
Epoch 4: train loss 0.00039074831875041127, accuracy 0.9983529411764706
Epoch 5: train loss 0.0002541622379794717, accuracy 0.9992941176470588
Epoch 6: train loss 8.863447146723047e-05, accuracy 0.9997647058823529
Epoch 7: train loss 0.0003236573247704655, accuracy 0.9992941176470588
Epoch 8: train loss 0.0003702583780977875, accuracy 0.9988235294117647
Epoch 9: train loss 0.00010325862967874855, accuracy 0.9995294117647059
Epoch 10: train loss 3.626402758527547e-05, accuracy 1.0
Epoch 1: train loss 0.0017163929296657443, accuracy 0.9931764705882353
Epoch 2: train loss 0.0006325122667476535, accuracy 0.9981176470588236
Epoch 3: train loss 8.652408723719418e-05, accuracy 0.9997647058823529
Epoch 4: train loss 0.00019266569870524108, accuracy 0.9992941176470588
Epoch 5: train loss 0.00046712160110473633, accuracy 0.9971764705882353
Epoch 6: train loss 0.0003695980994962156, accuracy 0.9990588235294118
Epoch 7: train loss 0.00010480716446181759, accuracy 0.9992941176470588
Epoch 8: train loss 3.25171095028054e-05, accuracy 1.0
Epoch 9: train loss 8.428690489381552e-05, accuracy 0.9995294117647059
Epoch 10: train loss 0.00015600274491589516, accuracy 0.9988235294117647
