Epoch 1: train loss 0.2832910418510437, accuracy 0.9884816753926702
Epoch 2: train loss 0.25275662541389465, accuracy 0.987434554973822
Epoch 3: train loss 0.253698468208313, accuracy 0.9930191972076788
Epoch 4: train loss 0.239393413066864, accuracy 0.9924956369982548
Epoch 5: train loss 0.24322669208049774, accuracy 0.9916230366492147
Epoch 6: train loss 0.26333948969841003, accuracy 0.9891797556719023
Epoch 7: train loss 0.2422027289867401, accuracy 0.9940663176265271
Epoch 8: train loss 0.26192352175712585, accuracy 0.9905759162303664
Epoch 9: train loss 0.2634776830673218, accuracy 0.9921465968586387
Epoch 10: train loss 0.23692497611045837, accuracy 0.9923211169284468
Epoch 1: train loss 0.20974376797676086, accuracy 0.9930191972076788
Epoch 2: train loss 0.2119266837835312, accuracy 0.9954624781849912
Epoch 3: train loss 0.21260184049606323, accuracy 0.9928446771378708
Epoch 4: train loss 0.22407786548137665, accuracy 0.993193717277487
Epoch 5: train loss 0.22077569365501404, accuracy 0.993891797556719
Epoch 6: train loss 0.2204241305589676, accuracy 0.993891797556719
Epoch 7: train loss 0.20983198285102844, accuracy 0.9924956369982548
Epoch 8: train loss 0.24558547139167786, accuracy 0.993368237347295
Epoch 9: train loss 0.22199086844921112, accuracy 0.9923211169284468
Epoch 10: train loss 0.2289707213640213, accuracy 0.9916230366492147
Epoch 1: train loss 0.14228710532188416, accuracy 0.9954624781849912
Epoch 2: train loss 0.14725077152252197, accuracy 0.9975567190226876
Epoch 3: train loss 0.1340646892786026, accuracy 0.9959860383944154
Epoch 4: train loss 0.12228333950042725, accuracy 0.9972076788830716
Epoch 5: train loss 0.13747192919254303, accuracy 0.9959860383944154
Epoch 6: train loss 0.1378130316734314, accuracy 0.9956369982547993
Epoch 7: train loss 0.16625483334064484, accuracy 0.9952879581151832
Epoch 8: train loss 0.14655043184757233, accuracy 0.9940663176265271
Epoch 9: train loss 0.15238501131534576, accuracy 0.9972076788830716
Epoch 10: train loss 0.14455156028270721, accuracy 0.9972076788830716
Epoch 1: train loss 0.11675088107585907, accuracy 0.9965095986038395
Epoch 2: train loss 0.09252294898033142, accuracy 0.9977312390924956
Epoch 3: train loss 0.12521050870418549, accuracy 0.9965095986038395
Epoch 4: train loss 0.09019317477941513, accuracy 0.9989528795811519
Epoch 5: train loss 0.09968097507953644, accuracy 0.9989528795811519
Epoch 6: train loss 0.1472368985414505, accuracy 0.9977312390924956
Epoch 7: train loss 0.11604088544845581, accuracy 0.9980802792321117
Epoch 8: train loss 0.10027104616165161, accuracy 0.9979057591623036
Epoch 9: train loss 0.11946796625852585, accuracy 0.9986038394415357
Epoch 10: train loss 0.11685223132371902, accuracy 0.9986038394415357
Epoch 1: train loss 0.08934806287288666, accuracy 0.9987783595113437
Epoch 2: train loss 0.15513189136981964, accuracy 0.9970331588132635
Epoch 3: train loss 0.09965542703866959, accuracy 0.9982547993019197
Epoch 4: train loss 0.09962429851293564, accuracy 0.9982547993019197
Epoch 5: train loss 0.12436341494321823, accuracy 0.9970331588132635
Epoch 6: train loss 0.08825632184743881, accuracy 0.9991273996509599
Epoch 7: train loss 0.1107480376958847, accuracy 0.9994764397905759
Epoch 8: train loss 0.12212086468935013, accuracy 0.9984293193717277
Epoch 9: train loss 0.10170714557170868, accuracy 0.9993019197207679
Epoch 10: train loss 0.09779619425535202, accuracy 0.9984293193717277
Epoch 1: train loss 0.06980253010988235, accuracy 0.9986038394415357
Epoch 2: train loss 0.07355465739965439, accuracy 0.9994764397905759
Epoch 3: train loss 0.06535068899393082, accuracy 0.9987783595113437
Epoch 4: train loss 0.06462379544973373, accuracy 0.9994764397905759
Epoch 5: train loss 0.12011750787496567, accuracy 0.9975567190226876
Epoch 6: train loss 0.10828598588705063, accuracy 0.9986038394415357
Epoch 7: train loss 0.11311624199151993, accuracy 0.9972076788830716
Epoch 8: train loss 0.07246018946170807, accuracy 0.9991273996509599
Epoch 9: train loss 0.0722275897860527, accuracy 0.9979057591623036
Epoch 10: train loss 0.0803287997841835, accuracy 0.9984293193717277
Epoch 1: train loss 0.06789375096559525, accuracy 0.9986038394415357
Epoch 2: train loss 0.06398428231477737, accuracy 0.9982547993019197
Epoch 3: train loss 0.06021006032824516, accuracy 0.9991273996509599
Epoch 4: train loss 0.05367516726255417, accuracy 0.9994764397905759
Epoch 5: train loss 0.06940887868404388, accuracy 0.9991273996509599
Epoch 6: train loss 0.05438781529664993, accuracy 0.9989528795811519
Epoch 7: train loss 0.06537855416536331, accuracy 0.9991273996509599
Epoch 8: train loss 0.08348996937274933, accuracy 0.9993019197207679
Epoch 9: train loss 0.05951304733753204, accuracy 0.9991273996509599
Epoch 10: train loss 0.06971750408411026, accuracy 0.9979057591623036
Epoch 1: train loss 0.06196754798293114, accuracy 0.9987783595113437
Epoch 2: train loss 0.04873497411608696, accuracy 0.9993019197207679
Epoch 3: train loss 0.07219894230365753, accuracy 0.9987783595113437
Epoch 4: train loss 0.09323137253522873, accuracy 0.9959860383944154
Epoch 5: train loss 0.05369047075510025, accuracy 0.9986038394415357
Epoch 6: train loss 0.05517764762043953, accuracy 0.9986038394415357
Epoch 7: train loss 0.05041462928056717, accuracy 0.9994764397905759
Epoch 8: train loss 0.05285792797803879, accuracy 0.999650959860384
Epoch 9: train loss 0.06998667120933533, accuracy 0.9980802792321117
Epoch 10: train loss 0.04985345900058746, accuracy 0.9991273996509599
