Epoch 1: train loss 1.4719420671463013, accuracy 0.8612315698178664
Epoch 2: train loss 1.447016954421997, accuracy 0.8747614917606245
Epoch 3: train loss 1.4592307806015015, accuracy 0.8792714657415438
Epoch 4: train loss 1.438098430633545, accuracy 0.8929748482220294
Epoch 5: train loss 1.4422682523727417, accuracy 0.8862098872506505
Epoch 6: train loss 1.4274511337280273, accuracy 0.8973113616652212
Epoch 7: train loss 1.424228310585022, accuracy 0.8941890719861232
Epoch 8: train loss 1.4258670806884766, accuracy 0.9058109280138769
Epoch 9: train loss 1.4292981624603271, accuracy 0.9056374674761491
Epoch 10: train loss 1.4223257303237915, accuracy 0.9137901127493495
Epoch 1: train loss 1.4691871404647827, accuracy 0.8629661751951431
Epoch 2: train loss 1.4597365856170654, accuracy 0.8875975715524718
Epoch 3: train loss 1.4654943943023682, accuracy 0.8792714657415438
Epoch 4: train loss 1.4585065841674805, accuracy 0.8862098872506505
Epoch 5: train loss 1.4380582571029663, accuracy 0.8966175195143105
Epoch 6: train loss 1.414437174797058, accuracy 0.9092801387684302
Epoch 7: train loss 1.4396175146102905, accuracy 0.9089332176929749
Epoch 8: train loss 1.418532371520996, accuracy 0.9077189939288812
Epoch 9: train loss 1.4082285165786743, accuracy 0.9136166522116218
Epoch 10: train loss 1.4094436168670654, accuracy 0.9110147441457068
Epoch 1: train loss 1.4457647800445557, accuracy 0.8860364267129228
Epoch 2: train loss 1.4705049991607666, accuracy 0.8787510841283608
Epoch 3: train loss 1.4388951063156128, accuracy 0.9011274934952298
Epoch 4: train loss 1.4511691331863403, accuracy 0.8943625325238508
Epoch 5: train loss 1.4287968873977661, accuracy 0.8928013876843018
Epoch 6: train loss 1.4283912181854248, accuracy 0.9049436253252385
Epoch 7: train loss 1.4162412881851196, accuracy 0.8981786643538595
Epoch 8: train loss 1.4354122877120972, accuracy 0.9117085862966176
Epoch 9: train loss 1.4183963537216187, accuracy 0.9084128360797918
Epoch 10: train loss 1.415082573890686, accuracy 0.9098005203816132
Epoch 1: train loss 1.4294546842575073, accuracy 0.8726799653078925
Epoch 2: train loss 1.4431966543197632, accuracy 0.8877710320901995
Epoch 3: train loss 1.4310685396194458, accuracy 0.8983521248915871
Epoch 4: train loss 1.4395731687545776, accuracy 0.8980052038161318
Epoch 5: train loss 1.4205005168914795, accuracy 0.9073720728534258
Epoch 6: train loss 1.4250085353851318, accuracy 0.9101474414570685
Epoch 7: train loss 1.427114725112915, accuracy 0.9150043365134432
Epoch 8: train loss 1.4089068174362183, accuracy 0.9224631396357329
Epoch 9: train loss 1.4188801050186157, accuracy 0.9196877710320902
Epoch 10: train loss 1.4147400856018066, accuracy 0.9205550737207285
Epoch 1: train loss 1.4167238473892212, accuracy 0.8784041630529055
Epoch 2: train loss 1.4406119585037231, accuracy 0.8971379011274935
Epoch 3: train loss 1.4211750030517578, accuracy 0.8986990459670425
Epoch 4: train loss 1.4142930507659912, accuracy 0.9025151777970511
Epoch 5: train loss 1.4096050262451172, accuracy 0.9134431916738942
Epoch 6: train loss 1.3989638090133667, accuracy 0.9101474414570685
Epoch 7: train loss 1.4006422758102417, accuracy 0.9045967042497832
Epoch 8: train loss 1.3841207027435303, accuracy 0.9186470078057242
Epoch 9: train loss 1.3769245147705078, accuracy 0.9160450997398092
Epoch 10: train loss 1.3696303367614746, accuracy 0.9271465741543798
Epoch 1: train loss 1.4076709747314453, accuracy 0.9011274934952298
Epoch 2: train loss 1.4324764013290405, accuracy 0.9033824804856895
Epoch 3: train loss 1.3989726305007935, accuracy 0.9096270598438855
Epoch 4: train loss 1.402522087097168, accuracy 0.9108412836079792
Epoch 5: train loss 1.400633692741394, accuracy 0.9115351257588898
Epoch 6: train loss 1.3837662935256958, accuracy 0.9181266261925412
Epoch 7: train loss 1.3877034187316895, accuracy 0.9148308759757156
Epoch 8: train loss 1.399956464767456, accuracy 0.9158716392020815
Epoch 9: train loss 1.371256709098816, accuracy 0.9236773633998265
Epoch 10: train loss 1.3801469802856445, accuracy 0.9229835212489159
Epoch 1: train loss 1.3810721635818481, accuracy 0.9078924544666088
