Epoch 1: train loss 0.004382816608995199, accuracy 0.9861552428506581
Epoch 2: train loss 0.004121992737054825, accuracy 0.9927371765773945
Epoch 3: train loss 0.00456530274823308, accuracy 0.9950068088969587
Epoch 4: train loss 0.002700199605897069, accuracy 0.9950068088969587
Epoch 5: train loss 0.004493928048759699, accuracy 0.9931911030413073
Epoch 6: train loss 0.002488589845597744, accuracy 0.9968225147526101
Epoch 7: train loss 0.002839541994035244, accuracy 0.9970494779845664
Epoch 8: train loss 0.00409205537289381, accuracy 0.9950068088969587
Epoch 9: train loss 0.0011385496472939849, accuracy 0.9979573309123921
Epoch 10: train loss 0.002585128415375948, accuracy 0.9959146618247844
Epoch 1: train loss 0.004204459488391876, accuracy 0.9906945074897866
Epoch 2: train loss 0.0023011406883597374, accuracy 0.9938719927371765
Epoch 3: train loss 0.002450222847983241, accuracy 0.9963685882886972
Epoch 4: train loss 0.0025925261434167624, accuracy 0.9961416250567408
Epoch 5: train loss 0.0031382597517222166, accuracy 0.9970494779845664
Epoch 6: train loss 0.002217925386503339, accuracy 0.9963685882886972
Epoch 7: train loss 0.0013083454687148333, accuracy 0.9979573309123921
Epoch 8: train loss 0.0007742008892819285, accuracy 0.998411257376305
Epoch 9: train loss 0.0012640920467674732, accuracy 0.9965955515206536
Epoch 10: train loss 0.001082122791558504, accuracy 0.9977303676804358
Epoch 1: train loss 0.0033347313292324543, accuracy 0.9913753971856559
Epoch 2: train loss 0.00448618596419692, accuracy 0.9936450295052202
Epoch 3: train loss 0.0020492817275226116, accuracy 0.9956876985928279
Epoch 4: train loss 0.0014478112570941448, accuracy 0.9965955515206536
Epoch 5: train loss 0.005669707432389259, accuracy 0.9938719927371765
Epoch 6: train loss 0.008021553047001362, accuracy 0.9945528824330458
Epoch 7: train loss 0.002221886068582535, accuracy 0.9965955515206536
Epoch 8: train loss 0.0023784469813108444, accuracy 0.998411257376305
Epoch 9: train loss 0.001505737891420722, accuracy 0.9981842941443486
Epoch 10: train loss 0.0015047661727294326, accuracy 0.9977303676804358
Epoch 1: train loss 0.006296753417700529, accuracy 0.9868361325465275
Epoch 2: train loss 0.001691414276137948, accuracy 0.9952337721289151
Epoch 3: train loss 0.0012393190991133451, accuracy 0.9972764412165229
Epoch 4: train loss 0.001531891874037683, accuracy 0.9965955515206536
Epoch 5: train loss 0.0014572301879525185, accuracy 0.9977303676804358
Epoch 6: train loss 0.0013154777698218822, accuracy 0.9979573309123921
Epoch 7: train loss 0.001440608175471425, accuracy 0.9981842941443486
Epoch 8: train loss 0.0013652698835358024, accuracy 0.9986382206082615
Epoch 9: train loss 0.0007635537185706198, accuracy 0.9988651838402178
Epoch 10: train loss 0.0013270736671984196, accuracy 0.9963685882886972
Epoch 1: train loss 0.006951108109205961, accuracy 0.9872900590104403
Epoch 2: train loss 0.002343932166695595, accuracy 0.9963685882886972
Epoch 3: train loss 0.0018150345422327518, accuracy 0.9972764412165229
Epoch 4: train loss 0.001399391912855208, accuracy 0.9970494779845664
Epoch 5: train loss 0.0010398871963843703, accuracy 0.9977303676804358
Epoch 6: train loss 0.0009689815924502909, accuracy 0.9988651838402178
Epoch 7: train loss 0.001966336974874139, accuracy 0.998411257376305
Epoch 8: train loss 0.0009050967637449503, accuracy 0.9990921470721743
Epoch 9: train loss 0.0015138665912672877, accuracy 0.9993191103041307
Epoch 10: train loss 0.003693730104714632, accuracy 0.9977303676804358
Epoch 1: train loss 0.006000903435051441, accuracy 0.9868361325465275
Epoch 2: train loss 0.0018307138234376907, accuracy 0.9981842941443486
Epoch 3: train loss 0.0011655756970867515, accuracy 0.9972764412165229
Epoch 4: train loss 0.002006860449910164, accuracy 0.9975034044484793
Epoch 5: train loss 0.0014091437915340066, accuracy 0.9954607353608715
Epoch 6: train loss 0.0014550687046721578, accuracy 0.998411257376305
Epoch 7: train loss 0.0035113173071295023, accuracy 0.9977303676804358
Epoch 8: train loss 0.001644832780584693, accuracy 0.998411257376305
Epoch 9: train loss 0.0005961955175735056, accuracy 0.9990921470721743
Epoch 10: train loss 0.0016067037358880043, accuracy 0.998411257376305
Epoch 1: train loss 0.009797430597245693, accuracy 0.9872900590104403
Epoch 2: train loss 0.001025609439238906, accuracy 0.9986382206082615
Epoch 3: train loss 0.0014232663670554757, accuracy 0.998411257376305
Epoch 4: train loss 0.002208616817370057, accuracy 0.9968225147526101
Epoch 5: train loss 0.0004816600994672626, accuracy 0.9995460735360872
Epoch 6: train loss 0.0013314489042386413, accuracy 0.9979573309123921
Epoch 7: train loss 0.0014799084747210145, accuracy 0.9993191103041307
Epoch 8: train loss 0.0013124386314302683, accuracy 0.9988651838402178
Epoch 9: train loss 0.0016257105162367225, accuracy 0.9975034044484793
Epoch 10: train loss 0.0011984906159341335, accuracy 0.9990921470721743
Epoch 1: train loss 0.003914465196430683, accuracy 0.9936450295052202
Epoch 2: train loss 0.0017524334834888577, accuracy 0.9990921470721743
Epoch 3: train loss 0.00475816335529089, accuracy 0.9968225147526101
Epoch 4: train loss 0.0024929579813033342, accuracy 0.9972764412165229
Epoch 5: train loss 0.008109181188046932, accuracy 0.9979573309123921
Epoch 6: train loss 0.0008774138404987752, accuracy 0.9986382206082615
Epoch 7: train loss 0.0032532373443245888, accuracy 0.9986382206082615
Epoch 8: train loss 0.0013582786777988076, accuracy 0.9986382206082615
Epoch 9: train loss 0.005819827318191528, accuracy 0.9988651838402178
Epoch 10: train loss 0.0011826324043795466, accuracy 0.9993191103041307
