Epoch 1: train loss 0.0028285663574934006, accuracy 0.9917975567190227
Epoch 2: train loss 0.0006786530138924718, accuracy 0.9984293193717277
Epoch 3: train loss 0.0033987942151725292, accuracy 0.9886561954624782
Epoch 4: train loss 0.000750937731936574, accuracy 0.9968586387434555
Epoch 5: train loss 0.0009050475782714784, accuracy 0.9987783595113437
Epoch 6: train loss 0.001133992918767035, accuracy 0.9982547993019197
Epoch 7: train loss 0.0006077650468796492, accuracy 0.999650959860384
Epoch 8: train loss 0.0003107077209278941, accuracy 0.9989528795811519
Epoch 9: train loss 0.0004252539365552366, accuracy 0.9986038394415357
Epoch 10: train loss 0.0002590628864709288, accuracy 0.999650959860384
Epoch 1: train loss 0.002169953426346183, accuracy 0.9951134380453752
Epoch 2: train loss 0.004081168677657843, accuracy 0.981500872600349
Epoch 3: train loss 0.0008952176431193948, accuracy 0.9954624781849912
Epoch 4: train loss 0.0010637477971613407, accuracy 0.9954624781849912
Epoch 5: train loss 0.0017735324800014496, accuracy 0.993368237347295
Epoch 6: train loss 0.0017538147512823343, accuracy 0.993193717277487
Epoch 7: train loss 0.0014338333858177066, accuracy 0.9986038394415357
Epoch 8: train loss 0.0004639346734620631, accuracy 0.9980802792321117
Epoch 9: train loss 0.0002120066637871787, accuracy 0.9991273996509599
Epoch 10: train loss 0.0003400571586098522, accuracy 0.9980802792321117
Epoch 1: train loss 0.0024165562354028225, accuracy 0.9924956369982548
Epoch 2: train loss 0.0011063661659136415, accuracy 0.9970331588132635
Epoch 3: train loss 0.004986983723938465, accuracy 0.9776614310645724
Epoch 4: train loss 0.00238458882085979, accuracy 0.9928446771378708
Epoch 5: train loss 0.0010556618217378855, accuracy 0.9952879581151832
Epoch 6: train loss 0.0008522416464984417, accuracy 0.9973821989528796
Epoch 7: train loss 0.0028828801587224007, accuracy 0.9849912739965097
Epoch 8: train loss 0.0010981803061440587, accuracy 0.993891797556719
Epoch 9: train loss 0.0009525627247057855, accuracy 0.9940663176265271
Epoch 10: train loss 0.0011456910287961364, accuracy 0.9958115183246073
Epoch 1: train loss 0.0017197028500959277, accuracy 0.9944153577661431
Epoch 2: train loss 0.0004312593082431704, accuracy 0.9987783595113437
Epoch 3: train loss 0.000550032826140523, accuracy 0.9980802792321117
Epoch 4: train loss 0.0002977581461891532, accuracy 0.9980802792321117
Epoch 5: train loss 0.0004211575724184513, accuracy 0.9991273996509599
Epoch 6: train loss 0.00341848679818213, accuracy 0.9865619546247818
Epoch 7: train loss 0.0015558790182694793, accuracy 0.9963350785340314
Epoch 8: train loss 0.0009026738116517663, accuracy 0.9965095986038395
Epoch 9: train loss 0.00042606782517395914, accuracy 0.9980802792321117
Epoch 10: train loss 0.0002407554566161707, accuracy 0.9987783595113437
Epoch 1: train loss 0.0013332731323316693, accuracy 0.9970331588132635
Epoch 2: train loss 0.0005227802321314812, accuracy 0.9986038394415357
Epoch 3: train loss 0.0024234429001808167, accuracy 0.993193717277487
Epoch 4: train loss 0.0005252184928394854, accuracy 0.9980802792321117
Epoch 5: train loss 0.001264916849322617, accuracy 0.9970331588132635
Epoch 6: train loss 0.0011987884063273668, accuracy 0.9984293193717277
Epoch 7: train loss 0.0009379122639074922, accuracy 0.9986038394415357
Epoch 8: train loss 0.00032944147824309766, accuracy 0.9987783595113437
Epoch 9: train loss 0.00025868366356007755, accuracy 0.9987783595113437
Epoch 10: train loss 0.00021365006978157908, accuracy 0.9993019197207679
Epoch 1: train loss 0.001684154849499464, accuracy 0.993717277486911
Epoch 2: train loss 0.00043813730007968843, accuracy 0.9986038394415357
Epoch 3: train loss 0.00022910741972737014, accuracy 0.9987783595113437
Epoch 4: train loss 0.00016435458383057266, accuracy 0.9991273996509599
Epoch 5: train loss 0.00021680018107872456, accuracy 0.9986038394415357
Epoch 6: train loss 4.563173934002407e-05, accuracy 1.0
Epoch 7: train loss 0.0010297358967363834, accuracy 0.9980802792321117
Epoch 8: train loss 0.0014199349097907543, accuracy 0.9928446771378708
Epoch 9: train loss 0.0004997108480893075, accuracy 0.9973821989528796
Epoch 10: train loss 0.0009155517909675837, accuracy 0.9984293193717277
Epoch 1: train loss 0.0018380697583779693, accuracy 0.9975567190226876
Epoch 2: train loss 0.0021202759817242622, accuracy 0.9898778359511344
Epoch 3: train loss 0.0010092288721352816, accuracy 0.9954624781849912
Epoch 4: train loss 0.0005246794316917658, accuracy 0.9979057591623036
Epoch 5: train loss 0.0008416376658715308, accuracy 0.9973821989528796
Epoch 6: train loss 0.00027319646324031055, accuracy 0.9991273996509599
Epoch 7: train loss 0.0002086293388856575, accuracy 0.9989528795811519
Epoch 8: train loss 0.00023793776927050203, accuracy 0.9991273996509599
Epoch 9: train loss 0.0007049628184176981, accuracy 0.9986038394415357
Epoch 10: train loss 0.00017711987311486155, accuracy 0.9994764397905759
Epoch 1: train loss 0.002385074971243739, accuracy 0.9924956369982548
Epoch 2: train loss 0.0007523057283833623, accuracy 0.9977312390924956
Epoch 3: train loss 0.0011837419588118792, accuracy 0.9982547993019197
Epoch 4: train loss 0.0007307565538212657, accuracy 0.9970331588132635
Epoch 5: train loss 0.0011276558507233858, accuracy 0.9987783595113437
Epoch 6: train loss 0.000965620914939791, accuracy 0.9975567190226876
Epoch 7: train loss 0.0003053725231438875, accuracy 0.9986038394415357
Epoch 8: train loss 0.0002165397600037977, accuracy 0.9986038394415357
Epoch 9: train loss 9.362366836285219e-05, accuracy 0.9993019197207679
Epoch 10: train loss 0.0007357036811299622, accuracy 0.9991273996509599
