Epoch 1: train loss 0.003974513150751591, accuracy 0.986609169314571
Epoch 2: train loss 0.0006114857387728989, accuracy 0.9975034044484793
Epoch 3: train loss 0.0006190632120706141, accuracy 0.9975034044484793
Epoch 4: train loss 0.0005393466562964022, accuracy 0.9975034044484793
Epoch 5: train loss 0.0002934701624326408, accuracy 0.9990921470721743
Epoch 6: train loss 0.0005306600942276418, accuracy 0.9975034044484793
Epoch 7: train loss 0.00020632307860068977, accuracy 0.9995460735360872
Epoch 8: train loss 0.0008487320155836642, accuracy 0.9986382206082615
Epoch 9: train loss 0.0005354172317311168, accuracy 0.9972764412165229
Epoch 10: train loss 0.00018964141781907529, accuracy 0.9990921470721743
Epoch 1: train loss 0.002576345345005393, accuracy 0.9913753971856559
Epoch 2: train loss 0.0004696593969129026, accuracy 0.9977303676804358
Epoch 3: train loss 0.00037864549085497856, accuracy 0.9986382206082615
Epoch 4: train loss 0.00033322139643132687, accuracy 0.9986382206082615
Epoch 5: train loss 0.0003002218436449766, accuracy 0.9988651838402178
Epoch 6: train loss 0.00011337493924656883, accuracy 0.9995460735360872
Epoch 7: train loss 0.00014839289360679686, accuracy 0.9995460735360872
Epoch 8: train loss 0.0003760094696190208, accuracy 0.9988651838402178
Epoch 9: train loss 9.393286018166691e-05, accuracy 1.0
Epoch 10: train loss 7.494370947824791e-05, accuracy 0.9997730367680435
Epoch 1: train loss 0.0040064360946416855, accuracy 0.9832047208352247
Epoch 2: train loss 0.0009882975136861205, accuracy 0.9956876985928279
Epoch 3: train loss 0.0009715795749798417, accuracy 0.994098955969133
Epoch 4: train loss 0.0006401875871233642, accuracy 0.9968225147526101
Epoch 5: train loss 0.00042101246071979403, accuracy 0.9979573309123921
Epoch 6: train loss 0.0003842773730866611, accuracy 0.9979573309123921
Epoch 7: train loss 0.00022761612490285188, accuracy 0.9990921470721743
Epoch 8: train loss 0.00020631923689506948, accuracy 0.9988651838402178
Epoch 9: train loss 0.001004282501526177, accuracy 0.998411257376305
Epoch 10: train loss 0.00044142414117231965, accuracy 0.9979573309123921
Epoch 1: train loss 0.0026796890888363123, accuracy 0.9900136177939174
Epoch 2: train loss 0.0011745872907340527, accuracy 0.9954607353608715
Epoch 3: train loss 0.0007847234373912215, accuracy 0.9970494779845664
Epoch 4: train loss 0.0004112400347366929, accuracy 0.9972764412165229
Epoch 5: train loss 0.00025939749320968986, accuracy 0.9986382206082615
Epoch 6: train loss 0.00010712563380366191, accuracy 1.0
Epoch 7: train loss 0.00013719753769692034, accuracy 0.9993191103041307
Epoch 8: train loss 0.0003074977721553296, accuracy 0.9975034044484793
Epoch 9: train loss 6.953767297090963e-05, accuracy 0.9997730367680435
Epoch 10: train loss 9.709535515867174e-05, accuracy 0.9995460735360872
Epoch 1: train loss 0.0018345232820138335, accuracy 0.9927371765773945
Epoch 2: train loss 0.000724626297596842, accuracy 0.9968225147526101
Epoch 3: train loss 0.00032055703923106194, accuracy 0.9988651838402178
Epoch 4: train loss 0.0001509157445980236, accuracy 0.9990921470721743
Epoch 5: train loss 0.00033064628951251507, accuracy 0.9990921470721743
Epoch 6: train loss 0.00015512602112721652, accuracy 0.9993191103041307
Epoch 7: train loss 0.0002469779865350574, accuracy 0.9993191103041307
Epoch 8: train loss 0.00036376231582835317, accuracy 0.9981842941443486
Epoch 9: train loss 0.00014528325118590146, accuracy 0.9997730367680435
Epoch 10: train loss 0.00017196913540828973, accuracy 0.9993191103041307
Epoch 1: train loss 0.0018464892636984587, accuracy 0.9918293236495688
Epoch 2: train loss 0.0011552816722542048, accuracy 0.9963685882886972
Epoch 3: train loss 0.0006877943524159491, accuracy 0.9968225147526101
Epoch 4: train loss 0.0003267228021286428, accuracy 0.9981842941443486
Epoch 5: train loss 0.0003072007966693491, accuracy 0.9977303676804358
Epoch 6: train loss 0.0003978945314884186, accuracy 0.9977303676804358
Epoch 7: train loss 0.00021910878422204405, accuracy 0.9990921470721743
Epoch 8: train loss 0.00016996226622723043, accuracy 0.9993191103041307
Epoch 9: train loss 9.007599874166772e-05, accuracy 0.9997730367680435
Epoch 10: train loss 7.25054123904556e-05, accuracy 1.0
Epoch 1: train loss 0.0016200440004467964, accuracy 0.9943259192010894
Epoch 2: train loss 0.00043834687676280737, accuracy 0.9981842941443486
Epoch 3: train loss 0.0006287739961408079, accuracy 0.9968225147526101
Epoch 4: train loss 0.00037859342410229146, accuracy 0.9977303676804358
Epoch 5: train loss 0.00024723494425415993, accuracy 0.9990921470721743
Epoch 6: train loss 7.993117469595745e-05, accuracy 0.9997730367680435
Epoch 7: train loss 0.000515741528943181, accuracy 0.9981842941443486
Epoch 8: train loss 0.00014605815522372723, accuracy 0.9993191103041307
Epoch 9: train loss 0.00016637954104226083, accuracy 0.9990921470721743
Epoch 10: train loss 4.55690678791143e-05, accuracy 1.0
Epoch 1: train loss 0.0013296209508553147, accuracy 0.9954607353608715
Epoch 2: train loss 0.0005877059302292764, accuracy 0.9979573309123921
Epoch 3: train loss 0.0003719319065567106, accuracy 0.9990921470721743
Epoch 4: train loss 0.0001886664831545204, accuracy 0.9995460735360872
Epoch 5: train loss 0.0001673192164162174, accuracy 0.9988651838402178
Epoch 6: train loss 0.0005112285725772381, accuracy 0.9981842941443486
Epoch 7: train loss 0.00013574742479249835, accuracy 0.9995460735360872
Epoch 8: train loss 8.649380470160395e-05, accuracy 0.9997730367680435
Epoch 9: train loss 0.00021363762789405882, accuracy 0.9990921470721743
Epoch 10: train loss 7.577171345474198e-05, accuracy 0.9995460735360872
