Epoch 1: train loss 0.04480363801121712, accuracy 0.592
Epoch 1: train loss 0.04528136923909187, accuracy 0.622
Epoch 1: train loss 0.04518502578139305, accuracy 0.576
Epoch 1: train loss 0.046048201620578766, accuracy 0.588
Epoch 1: train loss 0.04568718001246452, accuracy 0.606
Epoch 1: train loss 0.046366896480321884, accuracy 0.614
Epoch 1: train loss 0.0462704598903656, accuracy 0.626
Epoch 1: train loss 0.045270487666130066, accuracy 0.624
Epoch 1: train loss 0.04719618707895279, accuracy 0.56
Epoch 1: train loss 0.04545064643025398, accuracy 0.592
Epoch 1: train loss 0.04509013146162033, accuracy 0.572
Epoch 1: train loss 0.04583961144089699, accuracy 0.604
Epoch 1: train loss 0.0451701283454895, accuracy 0.612
Epoch 1: train loss 0.04478640481829643, accuracy 0.616
Epoch 1: train loss 0.044737666845321655, accuracy 0.636
Epoch 1: train loss 0.045736707746982574, accuracy 0.592
Epoch 1: train loss 0.04613582789897919, accuracy 0.602
Epoch 1: train loss 0.046063382178545, accuracy 0.566
Epoch 1: train loss 0.04500732570886612, accuracy 0.656
Epoch 1: train loss 0.045928385108709335, accuracy 0.586
Epoch 1: train loss 0.04575501009821892, accuracy 0.552
Epoch 1: train loss 0.045047685503959656, accuracy 0.606
Epoch 1: train loss 0.04503974691033363, accuracy 0.608
Epoch 1: train loss 0.044877320528030396, accuracy 0.58
Epoch 1: train loss 0.045296017080545425, accuracy 0.628
Epoch 1: train loss 0.044957056641578674, accuracy 0.624
Epoch 1: train loss 0.04598080366849899, accuracy 0.554
Epoch 1: train loss 0.044887710362672806, accuracy 0.604
Epoch 1: train loss 0.04643900319933891, accuracy 0.576
Epoch 1: train loss 0.04485078901052475, accuracy 0.606
Epoch 1: train loss 0.04500288888812065, accuracy 0.602
Epoch 1: train loss 0.04408394917845726, accuracy 0.59
Epoch 1: train loss 0.04566233605146408, accuracy 0.592
Epoch 1: train loss 0.04518811032176018, accuracy 0.622
Epoch 1: train loss 0.04501912742853165, accuracy 0.62
Epoch 1: train loss 0.04515540599822998, accuracy 0.612
Epoch 1: train loss 0.04602198675274849, accuracy 0.596
Epoch 1: train loss 0.045775603502988815, accuracy 0.594
Epoch 1: train loss 0.044946298003196716, accuracy 0.636
Epoch 1: train loss 0.044789575040340424, accuracy 0.604
Epoch 1: train loss 0.046414174139499664, accuracy 0.58
Epoch 1: train loss 0.045632317662239075, accuracy 0.612
Epoch 1: train loss 0.04590193182229996, accuracy 0.582
Epoch 1: train loss 0.04573335126042366, accuracy 0.62
Epoch 1: train loss 0.04428961127996445, accuracy 0.638
Epoch 1: train loss 0.046098481863737106, accuracy 0.63
Epoch 1: train loss 0.04362717270851135, accuracy 0.61
Epoch 1: train loss 0.04485747963190079, accuracy 0.628
Epoch 1: train loss 0.044834382832050323, accuracy 0.602
Epoch 1: train loss 0.045766301453113556, accuracy 0.616
Epoch 1: train loss 0.04397452622652054, accuracy 0.644
Epoch 1: train loss 0.045481014996767044, accuracy 0.618
Epoch 1: train loss 0.047061555087566376, accuracy 0.626
Epoch 1: train loss 0.04546895623207092, accuracy 0.586
Epoch 1: train loss 0.044803377240896225, accuracy 0.616
Epoch 1: train loss 0.04393996670842171, accuracy 0.648
Epoch 1: train loss 0.04412895813584328, accuracy 0.616
Epoch 1: train loss 0.04446781054139137, accuracy 0.614
Epoch 1: train loss 0.04490751773118973, accuracy 0.62
Epoch 1: train loss 0.043624114245176315, accuracy 0.622
Epoch 1: train loss 0.043983835726976395, accuracy 0.638
Epoch 1: train loss 0.045395005494356155, accuracy 0.59
Epoch 1: train loss 0.04345400258898735, accuracy 0.632
Epoch 1: train loss 0.04518192633986473, accuracy 0.62
Epoch 1: train loss 0.04514350742101669, accuracy 0.616
Epoch 1: train loss 0.043527133762836456, accuracy 0.628
Epoch 1: train loss 0.04375506564974785, accuracy 0.62
Epoch 1: train loss 0.04512167349457741, accuracy 0.644
Epoch 1: train loss 0.044141028076410294, accuracy 0.602
Epoch 1: train loss 0.04413600638508797, accuracy 0.63
Epoch 1: train loss 0.04447300732135773, accuracy 0.626
Epoch 1: train loss 0.0445173978805542, accuracy 0.61
Epoch 1: train loss 0.0448455736041069, accuracy 0.614
Epoch 1: train loss 0.044782523065805435, accuracy 0.646
Epoch 1: train loss 0.04451621696352959, accuracy 0.656
Epoch 1: train loss 0.04564235731959343, accuracy 0.628
Epoch 1: train loss 0.043724823743104935, accuracy 0.608
Epoch 1: train loss 0.04510737210512161, accuracy 0.63
Epoch 1: train loss 0.04413219168782234, accuracy 0.65
Epoch 1: train loss 0.044243425130844116, accuracy 0.602
Epoch 1: train loss 0.0448504276573658, accuracy 0.612
Epoch 1: train loss 0.04437952861189842, accuracy 0.644
Epoch 1: train loss 0.04407016187906265, accuracy 0.622
Epoch 1: train loss 0.04599149525165558, accuracy 0.63
Epoch 1: train loss 0.04401274025440216, accuracy 0.612
Epoch 1: train loss 0.04527783766388893, accuracy 0.636
Epoch 1: train loss 0.04461200162768364, accuracy 0.61
Epoch 1: train loss 0.04422903433442116, accuracy 0.626
Epoch 1: train loss 0.045164525508880615, accuracy 0.608
Epoch 1: train loss 0.044486917555332184, accuracy 0.616
Epoch 1: train loss 0.045606039464473724, accuracy 0.648
