Epoch 1: train loss 0.046166446059942245, accuracy 0.596
Epoch 1: train loss 0.04534400627017021, accuracy 0.634
Epoch 1: train loss 0.04595082625746727, accuracy 0.538
Epoch 1: train loss 0.045832812786102295, accuracy 0.578
Epoch 1: train loss 0.04615017771720886, accuracy 0.58
Epoch 1: train loss 0.045578859746456146, accuracy 0.614
Epoch 1: train loss 0.04616308584809303, accuracy 0.602
Epoch 1: train loss 0.04621021822094917, accuracy 0.63
Epoch 1: train loss 0.046523213386535645, accuracy 0.59
Epoch 1: train loss 0.04586159437894821, accuracy 0.604
Epoch 1: train loss 0.04595531150698662, accuracy 0.616
Epoch 1: train loss 0.045686982572078705, accuracy 0.59
Epoch 1: train loss 0.04613674432039261, accuracy 0.588
Epoch 1: train loss 0.04507516697049141, accuracy 0.59
Epoch 1: train loss 0.045243337750434875, accuracy 0.574
Epoch 1: train loss 0.04576018825173378, accuracy 0.608
Epoch 1: train loss 0.04510203003883362, accuracy 0.634
Epoch 1: train loss 0.04590049386024475, accuracy 0.626
Epoch 1: train loss 0.04504396393895149, accuracy 0.59
Epoch 1: train loss 0.046124015003442764, accuracy 0.6
Epoch 1: train loss 0.04469078779220581, accuracy 0.648
Epoch 1: train loss 0.04574573040008545, accuracy 0.602
Epoch 1: train loss 0.044859614223241806, accuracy 0.576
Epoch 1: train loss 0.045889921486377716, accuracy 0.608
Epoch 1: train loss 0.04492376744747162, accuracy 0.678
Epoch 1: train loss 0.046023886650800705, accuracy 0.602
Epoch 1: train loss 0.045413579791784286, accuracy 0.618
Epoch 1: train loss 0.04604616388678551, accuracy 0.618
Epoch 1: train loss 0.044399648904800415, accuracy 0.63
Epoch 1: train loss 0.044538404792547226, accuracy 0.598
Epoch 1: train loss 0.0458715483546257, accuracy 0.608
Epoch 1: train loss 0.04547691345214844, accuracy 0.616
Epoch 1: train loss 0.04569672793149948, accuracy 0.606
Epoch 1: train loss 0.047022849321365356, accuracy 0.618
Epoch 1: train loss 0.044736966490745544, accuracy 0.618
Epoch 1: train loss 0.044804614037275314, accuracy 0.622
Epoch 1: train loss 0.045506350696086884, accuracy 0.6
Epoch 1: train loss 0.0448727048933506, accuracy 0.594
Epoch 1: train loss 0.044693995267152786, accuracy 0.664
Epoch 1: train loss 0.044677797704935074, accuracy 0.65
Epoch 1: train loss 0.04483487084507942, accuracy 0.614
Epoch 1: train loss 0.045277051627635956, accuracy 0.58
Epoch 1: train loss 0.04540400952100754, accuracy 0.644
Epoch 1: train loss 0.04509849473834038, accuracy 0.644
Epoch 1: train loss 0.047063685953617096, accuracy 0.616
Epoch 1: train loss 0.04532201215624809, accuracy 0.602
Epoch 1: train loss 0.04496152698993683, accuracy 0.636
Epoch 1: train loss 0.04648700729012489, accuracy 0.556
Epoch 1: train loss 0.04439839348196983, accuracy 0.652
Epoch 1: train loss 0.044105399399995804, accuracy 0.636
Epoch 1: train loss 0.04424995929002762, accuracy 0.622
Epoch 1: train loss 0.04419126361608505, accuracy 0.604
Epoch 1: train loss 0.04504598304629326, accuracy 0.638
Epoch 1: train loss 0.04552517086267471, accuracy 0.61
Epoch 1: train loss 0.04409429430961609, accuracy 0.618
Epoch 1: train loss 0.0444428026676178, accuracy 0.644
Epoch 1: train loss 0.04462628811597824, accuracy 0.658
Epoch 1: train loss 0.04619702324271202, accuracy 0.636
Epoch 1: train loss 0.044175464659929276, accuracy 0.636
Epoch 1: train loss 0.045529238879680634, accuracy 0.59
Epoch 1: train loss 0.044360723346471786, accuracy 0.668
Epoch 1: train loss 0.043760791420936584, accuracy 0.602
Epoch 1: train loss 0.04490915313363075, accuracy 0.622
Epoch 1: train loss 0.04569809138774872, accuracy 0.652
Epoch 1: train loss 0.044317927211523056, accuracy 0.642
Epoch 1: train loss 0.04431964084506035, accuracy 0.658
Epoch 1: train loss 0.04723116755485535, accuracy 0.598
Epoch 1: train loss 0.04572717472910881, accuracy 0.634
Epoch 1: train loss 0.04462846368551254, accuracy 0.644
Epoch 1: train loss 0.043671783059835434, accuracy 0.64
Epoch 1: train loss 0.04436834529042244, accuracy 0.648
Epoch 1: train loss 0.0441836453974247, accuracy 0.638
Epoch 1: train loss 0.04522312432527542, accuracy 0.66
Epoch 1: train loss 0.04425712302327156, accuracy 0.626
Epoch 1: train loss 0.04439394548535347, accuracy 0.648
Epoch 1: train loss 0.04439321905374527, accuracy 0.626
Epoch 1: train loss 0.04402456432580948, accuracy 0.624
Epoch 1: train loss 0.04443269968032837, accuracy 0.682
Epoch 1: train loss 0.04402805119752884, accuracy 0.636
Epoch 1: train loss 0.04522913694381714, accuracy 0.664
Epoch 1: train loss 0.043701015412807465, accuracy 0.656
Epoch 1: train loss 0.044701118022203445, accuracy 0.624
Epoch 1: train loss 0.04352797940373421, accuracy 0.652
Epoch 1: train loss 0.04477338865399361, accuracy 0.636
Epoch 1: train loss 0.045068927109241486, accuracy 0.658
Epoch 1: train loss 0.045325204730033875, accuracy 0.632
Epoch 1: train loss 0.045118607580661774, accuracy 0.642
Epoch 1: train loss 0.0445379912853241, accuracy 0.626
