Epoch 1: train loss 0.0456157810986042, accuracy 0.556
Epoch 1: train loss 0.046379826962947845, accuracy 0.566
Epoch 1: train loss 0.047251131385564804, accuracy 0.594
Epoch 1: train loss 0.04584471508860588, accuracy 0.596
Epoch 1: train loss 0.04617295041680336, accuracy 0.604
Epoch 1: train loss 0.04516080021858215, accuracy 0.618
Epoch 1: train loss 0.045710254460573196, accuracy 0.658
Epoch 1: train loss 0.045088913291692734, accuracy 0.654
Epoch 1: train loss 0.04485413804650307, accuracy 0.654
Epoch 1: train loss 0.045800916850566864, accuracy 0.598
Epoch 1: train loss 0.04516339302062988, accuracy 0.628
Epoch 1: train loss 0.04537848010659218, accuracy 0.596
Epoch 1: train loss 0.04468488693237305, accuracy 0.594
Epoch 1: train loss 0.045229945331811905, accuracy 0.596
Epoch 1: train loss 0.046035200357437134, accuracy 0.598
Epoch 1: train loss 0.0455792061984539, accuracy 0.602
Epoch 1: train loss 0.04438105225563049, accuracy 0.592
Epoch 1: train loss 0.046424172818660736, accuracy 0.62
Epoch 1: train loss 0.04558334872126579, accuracy 0.636
Epoch 1: train loss 0.045394416898489, accuracy 0.624
Epoch 1: train loss 0.04487476497888565, accuracy 0.62
Epoch 1: train loss 0.04501030221581459, accuracy 0.63
Epoch 1: train loss 0.04475989565253258, accuracy 0.634
Epoch 1: train loss 0.04582734778523445, accuracy 0.62
Epoch 1: train loss 0.04447738453745842, accuracy 0.622
Epoch 1: train loss 0.045461952686309814, accuracy 0.586
Epoch 1: train loss 0.04492998123168945, accuracy 0.588
Epoch 1: train loss 0.0457746684551239, accuracy 0.596
Epoch 1: train loss 0.04488573223352432, accuracy 0.576
Epoch 1: train loss 0.044718317687511444, accuracy 0.644
Epoch 1: train loss 0.04507070407271385, accuracy 0.63
Epoch 1: train loss 0.04549230635166168, accuracy 0.618
Epoch 1: train loss 0.045981425791978836, accuracy 0.62
Epoch 1: train loss 0.04500742629170418, accuracy 0.598
Epoch 1: train loss 0.04542936012148857, accuracy 0.612
Epoch 1: train loss 0.04550611972808838, accuracy 0.584
Epoch 1: train loss 0.04605332389473915, accuracy 0.658
Epoch 1: train loss 0.044014863669872284, accuracy 0.602
Epoch 1: train loss 0.0468420572578907, accuracy 0.614
Epoch 1: train loss 0.04615404084324837, accuracy 0.628
Epoch 1: train loss 0.04517209902405739, accuracy 0.632
Epoch 1: train loss 0.04561991989612579, accuracy 0.582
Epoch 1: train loss 0.04534873366355896, accuracy 0.58
Epoch 1: train loss 0.045046839863061905, accuracy 0.614
Epoch 1: train loss 0.04431834816932678, accuracy 0.608
Epoch 1: train loss 0.04390037804841995, accuracy 0.64
Epoch 1: train loss 0.045947518199682236, accuracy 0.6
Epoch 1: train loss 0.045454610139131546, accuracy 0.638
Epoch 1: train loss 0.044704824686050415, accuracy 0.65
Epoch 1: train loss 0.04459051042795181, accuracy 0.638
Epoch 1: train loss 0.04568900167942047, accuracy 0.612
Epoch 1: train loss 0.045132048428058624, accuracy 0.626
Epoch 1: train loss 0.044446736574172974, accuracy 0.64
Epoch 1: train loss 0.045093849301338196, accuracy 0.632
Epoch 1: train loss 0.04439298063516617, accuracy 0.63
Epoch 1: train loss 0.04450656846165657, accuracy 0.64
Epoch 1: train loss 0.046436648815870285, accuracy 0.612
Epoch 1: train loss 0.044736772775650024, accuracy 0.614
Epoch 1: train loss 0.04489972069859505, accuracy 0.642
Epoch 1: train loss 0.04375246912240982, accuracy 0.644
Epoch 1: train loss 0.044584695249795914, accuracy 0.638
Epoch 1: train loss 0.04524653032422066, accuracy 0.65
Epoch 1: train loss 0.043874550610780716, accuracy 0.626
Epoch 1: train loss 0.0439249649643898, accuracy 0.634
Epoch 1: train loss 0.04381647706031799, accuracy 0.658
Epoch 1: train loss 0.044652801007032394, accuracy 0.686
Epoch 1: train loss 0.04406627267599106, accuracy 0.612
Epoch 1: train loss 0.0453375019133091, accuracy 0.626
Epoch 1: train loss 0.046545859426259995, accuracy 0.634
Epoch 1: train loss 0.04423540458083153, accuracy 0.638
Epoch 1: train loss 0.04426877945661545, accuracy 0.66
Epoch 1: train loss 0.045353349298238754, accuracy 0.616
Epoch 1: train loss 0.04429538920521736, accuracy 0.646
Epoch 1: train loss 0.045622408390045166, accuracy 0.588
Epoch 1: train loss 0.04479845613241196, accuracy 0.628
Epoch 1: train loss 0.04474198445677757, accuracy 0.63
Epoch 1: train loss 0.043985869735479355, accuracy 0.588
Epoch 1: train loss 0.044398579746484756, accuracy 0.66
Epoch 1: train loss 0.0441904291510582, accuracy 0.648
Epoch 1: train loss 0.04448466747999191, accuracy 0.616
Epoch 1: train loss 0.04409247636795044, accuracy 0.616
Epoch 1: train loss 0.04511431232094765, accuracy 0.65
Epoch 1: train loss 0.04390851780772209, accuracy 0.644
Epoch 1: train loss 0.04668765515089035, accuracy 0.652
Epoch 1: train loss 0.044757407158613205, accuracy 0.638
Epoch 1: train loss 0.04497080296278, accuracy 0.648
Epoch 1: train loss 0.0449766106903553, accuracy 0.636
Epoch 1: train loss 0.044535212218761444, accuracy 0.59
