Epoch 1: train loss 0.04529769718647003, accuracy 0.552
Epoch 1: train loss 0.04527541249990463, accuracy 0.586
Epoch 1: train loss 0.04642500728368759, accuracy 0.564
Epoch 1: train loss 0.04542148858308792, accuracy 0.604
Epoch 1: train loss 0.045914214104413986, accuracy 0.594
Epoch 1: train loss 0.045792847871780396, accuracy 0.598
Epoch 1: train loss 0.045961376279592514, accuracy 0.57
Epoch 1: train loss 0.04480653628706932, accuracy 0.576
Epoch 1: train loss 0.046637922525405884, accuracy 0.6
Epoch 1: train loss 0.045385852456092834, accuracy 0.596
Epoch 1: train loss 0.04559599235653877, accuracy 0.55
Epoch 1: train loss 0.04558553919196129, accuracy 0.632
Epoch 1: train loss 0.04514220356941223, accuracy 0.606
Epoch 1: train loss 0.04487089067697525, accuracy 0.612
Epoch 1: train loss 0.045997072011232376, accuracy 0.588
Epoch 1: train loss 0.04558715596795082, accuracy 0.586
Epoch 1: train loss 0.04559977725148201, accuracy 0.576
Epoch 1: train loss 0.044648103415966034, accuracy 0.626
Epoch 1: train loss 0.04616471752524376, accuracy 0.602
Epoch 1: train loss 0.04525537043809891, accuracy 0.624
Epoch 1: train loss 0.04570769891142845, accuracy 0.622
Epoch 1: train loss 0.04464251175522804, accuracy 0.604
Epoch 1: train loss 0.04480840265750885, accuracy 0.604
Epoch 1: train loss 0.04560086876153946, accuracy 0.606
Epoch 1: train loss 0.04559280350804329, accuracy 0.622
Epoch 1: train loss 0.04465222731232643, accuracy 0.658
Epoch 1: train loss 0.046167630702257156, accuracy 0.58
Epoch 1: train loss 0.04488515853881836, accuracy 0.616
Epoch 1: train loss 0.04579348862171173, accuracy 0.57
Epoch 1: train loss 0.046307921409606934, accuracy 0.594
Epoch 1: train loss 0.0457402840256691, accuracy 0.584
Epoch 1: train loss 0.045478709042072296, accuracy 0.618
Epoch 1: train loss 0.045975033193826675, accuracy 0.59
Epoch 1: train loss 0.04622950404882431, accuracy 0.592
Epoch 1: train loss 0.04622951149940491, accuracy 0.602
Epoch 1: train loss 0.04579063504934311, accuracy 0.656
Epoch 1: train loss 0.04467375576496124, accuracy 0.592
Epoch 1: train loss 0.0444713830947876, accuracy 0.63
Epoch 1: train loss 0.047022897750139236, accuracy 0.606
Epoch 1: train loss 0.04531506076455116, accuracy 0.648
Epoch 1: train loss 0.044231023639440536, accuracy 0.674
Epoch 1: train loss 0.0446443036198616, accuracy 0.64
Epoch 1: train loss 0.04505358636379242, accuracy 0.618
Epoch 1: train loss 0.04534679651260376, accuracy 0.62
Epoch 1: train loss 0.0448063388466835, accuracy 0.638
Epoch 1: train loss 0.04443236067891121, accuracy 0.632
Epoch 1: train loss 0.0443008616566658, accuracy 0.584
Epoch 1: train loss 0.04522975534200668, accuracy 0.598
Epoch 1: train loss 0.046127799898386, accuracy 0.616
Epoch 1: train loss 0.04581032320857048, accuracy 0.624
Epoch 1: train loss 0.044505950063467026, accuracy 0.624
Epoch 1: train loss 0.043791256844997406, accuracy 0.592
Epoch 1: train loss 0.04485775902867317, accuracy 0.644
Epoch 1: train loss 0.045494016259908676, accuracy 0.628
Epoch 1: train loss 0.04440760612487793, accuracy 0.614
Epoch 1: train loss 0.044595979154109955, accuracy 0.62
Epoch 1: train loss 0.04490439593791962, accuracy 0.646
Epoch 1: train loss 0.044462282210588455, accuracy 0.614
Epoch 1: train loss 0.044792983680963516, accuracy 0.582
Epoch 1: train loss 0.04595401883125305, accuracy 0.6
Epoch 1: train loss 0.04396330565214157, accuracy 0.626
Epoch 1: train loss 0.04397048056125641, accuracy 0.65
Epoch 1: train loss 0.04406774789094925, accuracy 0.632
Epoch 1: train loss 0.0453905425965786, accuracy 0.642
Epoch 1: train loss 0.04560961201786995, accuracy 0.618
Epoch 1: train loss 0.045031238347291946, accuracy 0.62
Epoch 1: train loss 0.04449216648936272, accuracy 0.662
Epoch 1: train loss 0.04546932503581047, accuracy 0.604
Epoch 1: train loss 0.04405483976006508, accuracy 0.614
Epoch 1: train loss 0.043985772877931595, accuracy 0.644
Epoch 1: train loss 0.04472700133919716, accuracy 0.614
Epoch 1: train loss 0.043899282813072205, accuracy 0.6
Epoch 1: train loss 0.044826388359069824, accuracy 0.616
Epoch 1: train loss 0.04621438309550285, accuracy 0.624
Epoch 1: train loss 0.04491831362247467, accuracy 0.612
Epoch 1: train loss 0.044687289744615555, accuracy 0.608
Epoch 1: train loss 0.04478330910205841, accuracy 0.634
Epoch 1: train loss 0.04430069774389267, accuracy 0.622
Epoch 1: train loss 0.04431008920073509, accuracy 0.62
Epoch 1: train loss 0.044812846928834915, accuracy 0.584
Epoch 1: train loss 0.04523547366261482, accuracy 0.638
Epoch 1: train loss 0.0439874529838562, accuracy 0.63
Epoch 1: train loss 0.04460131749510765, accuracy 0.616
Epoch 1: train loss 0.04381464049220085, accuracy 0.632
Epoch 1: train loss 0.04429206997156143, accuracy 0.612
Epoch 1: train loss 0.0459398552775383, accuracy 0.654
Epoch 1: train loss 0.04473479464650154, accuracy 0.606
