Epoch 1: train loss 0.04736137017607689, accuracy 0.576
Epoch 1: train loss 0.04525914788246155, accuracy 0.606
Epoch 1: train loss 0.045421745628118515, accuracy 0.602
Epoch 1: train loss 0.04578288644552231, accuracy 0.574
Epoch 1: train loss 0.04612797126173973, accuracy 0.6
Epoch 1: train loss 0.0448041632771492, accuracy 0.558
Epoch 1: train loss 0.04524228721857071, accuracy 0.596
Epoch 1: train loss 0.04504604637622833, accuracy 0.598
Epoch 1: train loss 0.04540148004889488, accuracy 0.596
Epoch 1: train loss 0.045773882418870926, accuracy 0.606
Epoch 1: train loss 0.04527530074119568, accuracy 0.622
Epoch 1: train loss 0.04486943408846855, accuracy 0.612
Epoch 1: train loss 0.045870278030633926, accuracy 0.564
Epoch 1: train loss 0.044661130756139755, accuracy 0.626
Epoch 1: train loss 0.04519052430987358, accuracy 0.546
Epoch 1: train loss 0.04624716565012932, accuracy 0.59
Epoch 1: train loss 0.044655248522758484, accuracy 0.624
Epoch 1: train loss 0.04596622660756111, accuracy 0.594
Epoch 1: train loss 0.04634563624858856, accuracy 0.594
Epoch 1: train loss 0.04595797881484032, accuracy 0.616
Epoch 1: train loss 0.04557112604379654, accuracy 0.618
Epoch 1: train loss 0.04633783549070358, accuracy 0.606
Epoch 1: train loss 0.04504770785570145, accuracy 0.556
Epoch 1: train loss 0.044684745371341705, accuracy 0.55
Epoch 1: train loss 0.04442787542939186, accuracy 0.616
Epoch 1: train loss 0.0455755814909935, accuracy 0.584
Epoch 1: train loss 0.04739995673298836, accuracy 0.582
Epoch 1: train loss 0.045169465243816376, accuracy 0.598
Epoch 1: train loss 0.046257976442575455, accuracy 0.608
Epoch 1: train loss 0.045200660824775696, accuracy 0.574
Epoch 1: train loss 0.04499536752700806, accuracy 0.616
Epoch 1: train loss 0.04483860731124878, accuracy 0.614
Epoch 1: train loss 0.04560472443699837, accuracy 0.624
Epoch 1: train loss 0.04533442482352257, accuracy 0.62
Epoch 1: train loss 0.0456712543964386, accuracy 0.59
Epoch 1: train loss 0.04613277316093445, accuracy 0.596
Epoch 1: train loss 0.04508211091160774, accuracy 0.632
Epoch 1: train loss 0.04870852082967758, accuracy 0.596
Epoch 1: train loss 0.04528244957327843, accuracy 0.618
Epoch 1: train loss 0.045500498265028, accuracy 0.576
Epoch 1: train loss 0.045164164155721664, accuracy 0.582
Epoch 1: train loss 0.04547044262290001, accuracy 0.574
Epoch 1: train loss 0.04434763267636299, accuracy 0.626
Epoch 1: train loss 0.04536106809973717, accuracy 0.58
Epoch 1: train loss 0.04574968293309212, accuracy 0.632
Epoch 1: train loss 0.04445168375968933, accuracy 0.63
Epoch 1: train loss 0.045910876244306564, accuracy 0.63
Epoch 1: train loss 0.04599930718541145, accuracy 0.576
Epoch 1: train loss 0.044951148331165314, accuracy 0.638
Epoch 1: train loss 0.04516451433300972, accuracy 0.6
Epoch 1: train loss 0.0450926274061203, accuracy 0.6
Epoch 1: train loss 0.045061737298965454, accuracy 0.644
Epoch 1: train loss 0.04529719799757004, accuracy 0.636
Epoch 1: train loss 0.04481402412056923, accuracy 0.62
Epoch 1: train loss 0.04374349117279053, accuracy 0.632
Epoch 1: train loss 0.04410671070218086, accuracy 0.594
Epoch 1: train loss 0.045585375279188156, accuracy 0.602
Epoch 1: train loss 0.04437720775604248, accuracy 0.632
Epoch 1: train loss 0.04488953948020935, accuracy 0.584
Epoch 1: train loss 0.044742874801158905, accuracy 0.654
Epoch 1: train loss 0.044233538210392, accuracy 0.626
Epoch 1: train loss 0.0449177622795105, accuracy 0.632
Epoch 1: train loss 0.045873723924160004, accuracy 0.582
Epoch 1: train loss 0.04397129639983177, accuracy 0.62
Epoch 1: train loss 0.04392001032829285, accuracy 0.622
Epoch 1: train loss 0.04444294795393944, accuracy 0.606
Epoch 1: train loss 0.044509124010801315, accuracy 0.646
Epoch 1: train loss 0.04443032667040825, accuracy 0.65
Epoch 1: train loss 0.04475611448287964, accuracy 0.61
Epoch 1: train loss 0.04452122747898102, accuracy 0.57
Epoch 1: train loss 0.04471111670136452, accuracy 0.626
Epoch 1: train loss 0.04568246006965637, accuracy 0.654
Epoch 1: train loss 0.04461883753538132, accuracy 0.582
Epoch 1: train loss 0.044303324073553085, accuracy 0.602
Epoch 1: train loss 0.044765785336494446, accuracy 0.602
Epoch 1: train loss 0.04460268095135689, accuracy 0.626
Epoch 1: train loss 0.04581107199192047, accuracy 0.644
Epoch 1: train loss 0.044141482561826706, accuracy 0.598
Epoch 1: train loss 0.04594472795724869, accuracy 0.636
Epoch 1: train loss 0.04423382878303528, accuracy 0.644
Epoch 1: train loss 0.044813793152570724, accuracy 0.612
Epoch 1: train loss 0.046165868639945984, accuracy 0.612
Epoch 1: train loss 0.04542827233672142, accuracy 0.608
Epoch 1: train loss 0.04464491456747055, accuracy 0.628
Epoch 1: train loss 0.044535137712955475, accuracy 0.616
Epoch 1: train loss 0.0465160571038723, accuracy 0.6
Epoch 1: train loss 0.04463641345500946, accuracy 0.608
Epoch 1: train loss 0.04444050043821335, accuracy 0.636
Epoch 1: train loss 0.04354843124747276, accuracy 0.594
Epoch 1: train loss 0.04403835907578468, accuracy 0.614
Epoch 1: train loss 0.045360762625932693, accuracy 0.648
