Epoch 1: train loss 0.046285662800073624, accuracy 0.576
Epoch 1: train loss 0.045492567121982574, accuracy 0.6
Epoch 1: train loss 0.0455971322953701, accuracy 0.626
Epoch 1: train loss 0.04545151814818382, accuracy 0.596
Epoch 1: train loss 0.045870374888181686, accuracy 0.574
Epoch 1: train loss 0.04684397578239441, accuracy 0.594
Epoch 1: train loss 0.045875437557697296, accuracy 0.594
Epoch 1: train loss 0.04587830975651741, accuracy 0.57
Epoch 1: train loss 0.04522358998656273, accuracy 0.582
Epoch 1: train loss 0.046462900936603546, accuracy 0.64
Epoch 1: train loss 0.0460020937025547, accuracy 0.586
Epoch 1: train loss 0.04592055827379227, accuracy 0.606
Epoch 1: train loss 0.045530784875154495, accuracy 0.618
Epoch 1: train loss 0.046378616243600845, accuracy 0.624
Epoch 1: train loss 0.04633763059973717, accuracy 0.644
Epoch 1: train loss 0.0460096150636673, accuracy 0.586
Epoch 1: train loss 0.04610762745141983, accuracy 0.556
Epoch 1: train loss 0.04709840193390846, accuracy 0.578
Epoch 1: train loss 0.04483851045370102, accuracy 0.61
Epoch 1: train loss 0.04579497501254082, accuracy 0.59
Epoch 1: train loss 0.04545145481824875, accuracy 0.614
Epoch 1: train loss 0.045084305107593536, accuracy 0.616
Epoch 1: train loss 0.04499371349811554, accuracy 0.616
Epoch 1: train loss 0.04563664272427559, accuracy 0.572
Epoch 1: train loss 0.04515984281897545, accuracy 0.674
Epoch 1: train loss 0.04531056806445122, accuracy 0.574
Epoch 1: train loss 0.04487255960702896, accuracy 0.622
Epoch 1: train loss 0.0452212318778038, accuracy 0.588
Epoch 1: train loss 0.04535315930843353, accuracy 0.65
Epoch 1: train loss 0.044800568372011185, accuracy 0.642
Epoch 1: train loss 0.0455578938126564, accuracy 0.612
Epoch 1: train loss 0.04469719156622887, accuracy 0.642
Epoch 1: train loss 0.04616754129528999, accuracy 0.618
Epoch 1: train loss 0.04398097097873688, accuracy 0.604
Epoch 1: train loss 0.045570094138383865, accuracy 0.602
Epoch 1: train loss 0.044533561915159225, accuracy 0.626
Epoch 1: train loss 0.046701256185770035, accuracy 0.626
Epoch 1: train loss 0.04486503079533577, accuracy 0.618
Epoch 1: train loss 0.04508397728204727, accuracy 0.606
Epoch 1: train loss 0.045385170727968216, accuracy 0.62
Epoch 1: train loss 0.04592088609933853, accuracy 0.632
Epoch 1: train loss 0.04509451985359192, accuracy 0.642
Epoch 1: train loss 0.04519355669617653, accuracy 0.644
Epoch 1: train loss 0.045563437044620514, accuracy 0.564
Epoch 1: train loss 0.046155720949172974, accuracy 0.65
Epoch 1: train loss 0.04355505853891373, accuracy 0.642
Epoch 1: train loss 0.045791976153850555, accuracy 0.624
Epoch 1: train loss 0.04570322483778, accuracy 0.624
Epoch 1: train loss 0.044979557394981384, accuracy 0.63
Epoch 1: train loss 0.04480981454253197, accuracy 0.622
Epoch 1: train loss 0.04520592465996742, accuracy 0.614
Epoch 1: train loss 0.04439813643693924, accuracy 0.626
Epoch 1: train loss 0.04466208443045616, accuracy 0.594
Epoch 1: train loss 0.04419949650764465, accuracy 0.64
Epoch 1: train loss 0.04492751136422157, accuracy 0.634
Epoch 1: train loss 0.044107161462306976, accuracy 0.596
Epoch 1: train loss 0.045394524931907654, accuracy 0.626
Epoch 1: train loss 0.0446496456861496, accuracy 0.648
Epoch 1: train loss 0.04505934938788414, accuracy 0.638
Epoch 1: train loss 0.04530085623264313, accuracy 0.6
Epoch 1: train loss 0.0452284961938858, accuracy 0.618
Epoch 1: train loss 0.04577471688389778, accuracy 0.642
Epoch 1: train loss 0.04494282975792885, accuracy 0.636
Epoch 1: train loss 0.04533609747886658, accuracy 0.642
Epoch 1: train loss 0.04441765323281288, accuracy 0.602
Epoch 1: train loss 0.04582203924655914, accuracy 0.6
Epoch 1: train loss 0.043737445026636124, accuracy 0.62
Epoch 1: train loss 0.04407235607504845, accuracy 0.59
Epoch 1: train loss 0.04413990676403046, accuracy 0.612
Epoch 1: train loss 0.045091673731803894, accuracy 0.606
Epoch 1: train loss 0.04416658729314804, accuracy 0.67
Epoch 1: train loss 0.04563180357217789, accuracy 0.588
Epoch 1: train loss 0.04396658018231392, accuracy 0.636
Epoch 1: train loss 0.045997198671102524, accuracy 0.638
Epoch 1: train loss 0.0446699783205986, accuracy 0.62
Epoch 1: train loss 0.04540500044822693, accuracy 0.632
Epoch 1: train loss 0.044571105390787125, accuracy 0.628
Epoch 1: train loss 0.044469863176345825, accuracy 0.614
Epoch 1: train loss 0.04526582732796669, accuracy 0.646
Epoch 1: train loss 0.0444941483438015, accuracy 0.664
Epoch 1: train loss 0.043801531195640564, accuracy 0.638
Epoch 1: train loss 0.04455113410949707, accuracy 0.602
Epoch 1: train loss 0.04440264031291008, accuracy 0.636
Epoch 1: train loss 0.04359859228134155, accuracy 0.61
Epoch 1: train loss 0.04423815384507179, accuracy 0.646
Epoch 1: train loss 0.04403596371412277, accuracy 0.618
Epoch 1: train loss 0.045707251876592636, accuracy 0.606
Epoch 1: train loss 0.044802866876125336, accuracy 0.602
Epoch 1: train loss 0.04407422989606857, accuracy 0.612
Epoch 1: train loss 0.043543215841054916, accuracy 0.628
