Epoch 1: train loss 0.046558912843465805, accuracy 0.468
Epoch 2: train loss 0.050611626356840134, accuracy 0.546
Epoch 3: train loss 0.0496712327003479, accuracy 0.578
Epoch 4: train loss 0.049970634281635284, accuracy 0.598
Epoch 5: train loss 0.0500025749206543, accuracy 0.634
Epoch 6: train loss 0.04988789185881615, accuracy 0.574
Epoch 7: train loss 0.05028977617621422, accuracy 0.614
Epoch 8: train loss 0.04981129989027977, accuracy 0.58
Epoch 9: train loss 0.049511976540088654, accuracy 0.624
Epoch 10: train loss 0.050524406135082245, accuracy 0.632
Epoch 11: train loss 0.05014171078801155, accuracy 0.582
Epoch 12: train loss 0.05006885901093483, accuracy 0.58
Epoch 13: train loss 0.05017061159014702, accuracy 0.572
Epoch 14: train loss 0.0494547076523304, accuracy 0.59
Epoch 15: train loss 0.04971424490213394, accuracy 0.582
Epoch 16: train loss 0.05015675351023674, accuracy 0.618
Epoch 17: train loss 0.050369564443826675, accuracy 0.638
Epoch 18: train loss 0.0488920733332634, accuracy 0.542
Epoch 19: train loss 0.05080602318048477, accuracy 0.566
Epoch 20: train loss 0.0500195138156414, accuracy 0.562
Epoch 1: train loss 0.045608293265104294, accuracy 0.536
Epoch 2: train loss 0.050018198788166046, accuracy 0.614
Epoch 3: train loss 0.04978669807314873, accuracy 0.616
Epoch 4: train loss 0.05029952898621559, accuracy 0.602
Epoch 5: train loss 0.04955757409334183, accuracy 0.586
Epoch 6: train loss 0.050779953598976135, accuracy 0.594
Epoch 7: train loss 0.049742441624403, accuracy 0.644
Epoch 8: train loss 0.050500672310590744, accuracy 0.652
Epoch 9: train loss 0.049305155873298645, accuracy 0.61
Epoch 10: train loss 0.05086785554885864, accuracy 0.62
Epoch 11: train loss 0.05001956969499588, accuracy 0.634
Epoch 12: train loss 0.04955771937966347, accuracy 0.662
Epoch 13: train loss 0.04989667609333992, accuracy 0.586
Epoch 14: train loss 0.049714647233486176, accuracy 0.64
Epoch 15: train loss 0.04998283088207245, accuracy 0.622
Epoch 16: train loss 0.04974451661109924, accuracy 0.636
Epoch 17: train loss 0.05005571246147156, accuracy 0.63
Epoch 18: train loss 0.04977589100599289, accuracy 0.634
Epoch 19: train loss 0.04971887916326523, accuracy 0.65
Epoch 20: train loss 0.049629054963588715, accuracy 0.63
Epoch 1: train loss 0.04483406990766525, accuracy 0.556
Epoch 2: train loss 0.05005640909075737, accuracy 0.632
Epoch 3: train loss 0.049339793622493744, accuracy 0.694
Epoch 4: train loss 0.05043090134859085, accuracy 0.66
Epoch 5: train loss 0.049180254340171814, accuracy 0.634
Epoch 6: train loss 0.049180421978235245, accuracy 0.692
Epoch 7: train loss 0.04974972456693649, accuracy 0.688
Epoch 8: train loss 0.04939447343349457, accuracy 0.696
Epoch 9: train loss 0.04938060790300369, accuracy 0.69
Epoch 10: train loss 0.04971713945269585, accuracy 0.67
Epoch 11: train loss 0.0491308867931366, accuracy 0.712
Epoch 12: train loss 0.04925210028886795, accuracy 0.7
Epoch 13: train loss 0.04952474310994148, accuracy 0.674
Epoch 14: train loss 0.049183815717697144, accuracy 0.696
Epoch 15: train loss 0.0491715669631958, accuracy 0.726
Epoch 16: train loss 0.04931607469916344, accuracy 0.674
Epoch 17: train loss 0.04916893318295479, accuracy 0.692
