Epoch 1: train loss 0.044839803129434586, accuracy 0.582
Epoch 1: train loss 0.04550079256296158, accuracy 0.56
Epoch 1: train loss 0.045836590230464935, accuracy 0.564
Epoch 1: train loss 0.04521440342068672, accuracy 0.602
Epoch 1: train loss 0.045314155519008636, accuracy 0.622
Epoch 1: train loss 0.04484838619828224, accuracy 0.58
Epoch 1: train loss 0.04548303782939911, accuracy 0.594
Epoch 1: train loss 0.04530441388487816, accuracy 0.558
Epoch 1: train loss 0.04583295062184334, accuracy 0.626
Epoch 1: train loss 0.04536207765340805, accuracy 0.594
Epoch 1: train loss 0.04437759891152382, accuracy 0.668
Epoch 1: train loss 0.0455060638487339, accuracy 0.586
Epoch 1: train loss 0.04525658115744591, accuracy 0.592
Epoch 1: train loss 0.04618025943636894, accuracy 0.596
Epoch 1: train loss 0.0454409159719944, accuracy 0.558
Epoch 1: train loss 0.04502660781145096, accuracy 0.624
Epoch 1: train loss 0.04694632440805435, accuracy 0.574
Epoch 1: train loss 0.04614914581179619, accuracy 0.618
Epoch 1: train loss 0.04509124159812927, accuracy 0.6
Epoch 1: train loss 0.044912006705999374, accuracy 0.59
Epoch 1: train loss 0.04613356292247772, accuracy 0.568
Epoch 1: train loss 0.045935049653053284, accuracy 0.636
Epoch 1: train loss 0.04522180184721947, accuracy 0.55
Epoch 1: train loss 0.046555545181035995, accuracy 0.59
Epoch 1: train loss 0.045179642736911774, accuracy 0.616
Epoch 1: train loss 0.04431256279349327, accuracy 0.614
Epoch 1: train loss 0.04495992138981819, accuracy 0.584
Epoch 1: train loss 0.045027073472738266, accuracy 0.604
Epoch 1: train loss 0.04687373340129852, accuracy 0.602
Epoch 1: train loss 0.04643460363149643, accuracy 0.558
Epoch 1: train loss 0.04422994703054428, accuracy 0.616
Epoch 1: train loss 0.045743707567453384, accuracy 0.606
Epoch 1: train loss 0.04486145079135895, accuracy 0.622
Epoch 1: train loss 0.045107629150152206, accuracy 0.63
Epoch 1: train loss 0.04447585344314575, accuracy 0.638
Epoch 1: train loss 0.04495764896273613, accuracy 0.634
Epoch 1: train loss 0.046881288290023804, accuracy 0.612
Epoch 1: train loss 0.04524548351764679, accuracy 0.624
Epoch 1: train loss 0.045832183212041855, accuracy 0.616
Epoch 1: train loss 0.04592973366379738, accuracy 0.608
Epoch 1: train loss 0.044662680476903915, accuracy 0.61
Epoch 1: train loss 0.04482969641685486, accuracy 0.618
Epoch 1: train loss 0.04540807753801346, accuracy 0.654
Epoch 1: train loss 0.04569319263100624, accuracy 0.622
Epoch 1: train loss 0.04478566721081734, accuracy 0.602
Epoch 1: train loss 0.044925346970558167, accuracy 0.632
Epoch 1: train loss 0.0447712279856205, accuracy 0.654
Epoch 1: train loss 0.04485001415014267, accuracy 0.596
Epoch 1: train loss 0.04545591026544571, accuracy 0.62
Epoch 1: train loss 0.04533098265528679, accuracy 0.624
Epoch 1: train loss 0.04447338357567787, accuracy 0.598
Epoch 1: train loss 0.04422236606478691, accuracy 0.614
Epoch 1: train loss 0.04405486211180687, accuracy 0.654
Epoch 1: train loss 0.04412464797496796, accuracy 0.648
Epoch 1: train loss 0.044539954513311386, accuracy 0.632
Epoch 1: train loss 0.04590175300836563, accuracy 0.616
Epoch 1: train loss 0.04418126121163368, accuracy 0.628
Epoch 1: train loss 0.04511633515357971, accuracy 0.626
Epoch 1: train loss 0.04456878453493118, accuracy 0.6
Epoch 1: train loss 0.04478267580270767, accuracy 0.608
Epoch 1: train loss 0.044834282249212265, accuracy 0.598
Epoch 1: train loss 0.04526965692639351, accuracy 0.598
Epoch 1: train loss 0.04500848054885864, accuracy 0.628
Epoch 1: train loss 0.044845547527074814, accuracy 0.636
Epoch 1: train loss 0.04370735585689545, accuracy 0.624
Epoch 1: train loss 0.045403577387332916, accuracy 0.602
Epoch 1: train loss 0.044544767588377, accuracy 0.658
Epoch 1: train loss 0.044073767960071564, accuracy 0.584
Epoch 1: train loss 0.043897975236177444, accuracy 0.66
Epoch 1: train loss 0.0447041280567646, accuracy 0.62
Epoch 1: train loss 0.04461667686700821, accuracy 0.612
Epoch 1: train loss 0.045115284621715546, accuracy 0.634
Epoch 1: train loss 0.0438305139541626, accuracy 0.646
Epoch 1: train loss 0.04421735927462578, accuracy 0.618
Epoch 1: train loss 0.044177524745464325, accuracy 0.672
Epoch 1: train loss 0.044299475848674774, accuracy 0.638
Epoch 1: train loss 0.04500811547040939, accuracy 0.664
Epoch 1: train loss 0.04546717554330826, accuracy 0.62
Epoch 1: train loss 0.04481903463602066, accuracy 0.624
Epoch 1: train loss 0.044751282781362534, accuracy 0.66
Epoch 1: train loss 0.04598715156316757, accuracy 0.628
Epoch 1: train loss 0.04392778500914574, accuracy 0.664
Epoch 1: train loss 0.043770622462034225, accuracy 0.618
Epoch 1: train loss 0.045961055904626846, accuracy 0.61
Epoch 1: train loss 0.043855953961610794, accuracy 0.638
Epoch 1: train loss 0.044572871178388596, accuracy 0.612
Epoch 1: train loss 0.04497901722788811, accuracy 0.674
Epoch 1: train loss 0.04495815932750702, accuracy 0.594
Epoch 1: train loss 0.043653570115566254, accuracy 0.598
Epoch 1: train loss 0.04405315965414047, accuracy 0.606
